test_year,b11_reproduced_t1_rmse,b10_t1_rmse,absolute_difference,within_tolerance_1e-8
2016,2.7275218137129102,2.7275218137129102,0.0,True
2017,2.262105036655891,2.262105036655891,0.0,True
2018,2.552737444147713,2.552737444147713,0.0,True
2019,2.9195123659302205,2.9195123659302205,0.0,True
2020,2.745177446719631,2.745177446719631,0.0,True
2021,2.4752077534079464,2.4752077534079464,0.0,True
