state,n,n_environments,n_test_years,rmse,mae,r2,correlation,adaptive_90_coverage,adaptive_90_mean_width
ALL_EVALUATED,36445,77,4,2.686459615278823,2.183090653087729,0.05291453892606801,0.37281551218694325,0.8858005213335163,8.503221457435409
RETAIN_SUPPORTED,36445,77,4,2.686459615278823,2.183090653087729,0.05291453892606801,0.37281551218694325,0.8858005213335163,8.503221457435409
