test_year,train_year_max,n_train_environments,horizon,full_rbf_gamma,full_training_kernel_effective_rank,full_retained_rank,full_median_train_pair_d2,weather_rbf_gamma,weather_training_kernel_effective_rank,weather_retained_rank,weather_median_train_pair_d2
2016,2015,23,T0_preseason,0.03514759289341332,13.113176680263965,16,56.90290103407909,0.16089369529318487,5.515616810731981,7,12.430567874990661
2016,2015,23,T1_30DAP,0.035503115768768065,13.278075626060076,16,56.33308391933846,0.1700055306211343,7.265860968823493,7,11.764323152857294
2016,2015,23,T2_60DAP_reproductive_window_proxy,0.03482127709150082,12.999658953967991,16,57.436147294211686,0.16369898668471305,7.092885496262378,7,12.217546611036957
2017,2016,41,T0_preseason,0.02405162802620173,17.056867949076292,16,83.15445415259248,0.17094424911603237,6.4812150417458,7,11.69972087591232
2017,2016,41,T1_30DAP,0.024061988347004477,17.255710222102216,16,83.11865051040073,0.18126910706380883,8.196961202855821,7,11.033319645007005
2017,2016,41,T2_60DAP_reproductive_window_proxy,0.023871569239702232,17.11282917992233,16,83.7816726632986,0.1803593779829575,8.057201799145153,7,11.088971487742565
2018,2017,59,T0_preseason,0.02074912967075712,15.886313550675515,16,96.38958509275254,0.17661688028202474,6.89625781079876,7,11.323945915058442
2018,2017,59,T1_30DAP,0.02069879633661328,16.127307702871885,16,96.62397597788231,0.18902525771027875,9.408391631904353,7,10.580596605060174
2018,2017,59,T2_60DAP_reproductive_window_proxy,0.020596602082052627,16.17275094177806,16,97.10339560051757,0.18455526337914918,9.290041494138178,7,10.836862430150326
2019,2018,80,T0_preseason,0.01746878040964399,14.718177521606721,16,114.48996169737528,0.1847890252951121,7.195862940373629,7,10.823153576387757
2019,2018,80,T1_30DAP,0.017458044170036668,15.018304255918585,16,114.56037002315588,0.19508787754521714,10.153955805084909,7,10.251790245329023
2019,2018,80,T2_60DAP_reproductive_window_proxy,0.017393812478048633,15.279415667542807,16,114.98341738040715,0.1875381098741823,10.094370522300302,7,10.664499078836737
2020,2019,101,T0_preseason,0.017667064853269472,16.10085121778845,16,113.20499565777502,0.18763631729911823,8.132408126204835,7,10.658917360927115
2020,2019,101,T1_30DAP,0.017530008046553632,16.292566717309136,16,114.09007883445874,0.19825922236056415,10.467854334109319,7,10.087803110428325
2020,2019,101,T2_60DAP_reproductive_window_proxy,0.017578699882808056,16.69973904247871,16,113.77405686048473,0.18942489696283638,10.07040128640261,7,10.558274187116933
2021,2020,117,T0_preseason,0.017376427735710204,16.495434958515993,16,115.09845581723397,0.18446905548313447,8.199177291812147,7,10.841926819443463
2021,2020,117,T1_30DAP,0.017220025785891758,16.812217540001875,16,116.14384466477311,0.19330834621056783,10.873729822518577,7,10.346164763219434
2021,2020,117,T2_60DAP_reproductive_window_proxy,0.017314123140397975,17.312034647124477,16,115.51263577036272,0.18588965249032433,10.485235316731265,7,10.7590711651048
