method,nominal,n,n_environments,n_test_years,empirical_coverage,environment_balanced_coverage,environment_cluster_ci95_low,environment_cluster_ci95_high,mean_interval_width,absolute_coverage_gap
GLOBAL_FORWARD,0.8,36445,77,4,0.7754424475236658,0.7635335714623137,0.7259482529591709,0.8188843741054621,6.703775512941015,0.024557552476334288
SUPPORT_ADAPTIVE,0.8,36445,77,4,0.7754424475236658,0.7635335714623137,0.7261722161865177,0.8179250353764619,6.703775512941015,0.024557552476334288
GLOBAL_FORWARD,0.9,36445,77,4,0.8858005213335163,0.87471628478227,0.8504549439640953,0.9145037256170606,8.503221457435409,0.014199478666483745
SUPPORT_ADAPTIVE,0.9,36445,77,4,0.8858005213335163,0.87471628478227,0.8509090303092438,0.9153532243974815,8.503221457435409,0.014199478666483745
GLOBAL_FORWARD,0.95,36445,77,4,0.9447112086705995,0.9392266214593915,0.9237610276517905,0.9624934664675144,10.108206250735847,0.005288791329400411
SUPPORT_ADAPTIVE,0.95,36445,77,4,0.9447112086705995,0.9392266214593915,0.9241816547403938,0.9623156231302713,10.108206250735847,0.005288791329400411
