regime,challenger,reference,metric,delta_challenger_minus_reference,ci95_low,ci95_high,improvement_frequency,bootstrap_clusters,bootstrap_reps
CV-E-continuous,G+E,G,RMSE,-0.038099541804938575,-0.18442856194615323,0.11316585756370953,0.6495,environment,2000
CV-E-continuous,G+E+GxE,G+E,RMSE,0.03172149231585797,-0.12152740390706977,0.19468731273788423,0.372,environment,2000
CV-E-continuous,G+E+GxE,G,RMSE,-0.006378049489080606,-0.21653963182518748,0.22884331038926553,0.524,environment,2000
CV-GE-continuous,G+E,G,RMSE,-0.03895811415429762,-0.19970537023600987,0.11752583853683997,0.668,environment,2000
CV-GE-continuous,G+E+GxE,G+E,RMSE,0.029764492572937673,-0.11768166708147768,0.18807780348614667,0.3625,environment,2000
CV-GE-continuous,G+E+GxE,G,RMSE,-0.009193621581359945,-0.2278769806207504,0.22292536797451165,0.549,environment,2000
