environment,n,pearson,spearman,observed_sd,predicted_sd,predicted_to_observed_sd_ratio,observed_on_predicted_slope,slope_from_correlation_and_scale,slope_identity_residual,pairwise_msed,root_pairwise_msed,uses_already_revealed_target_outcome,diagnostic_only
DEH1_2024,51,0.14653139113078947,-0.022352941176470586,1.9476434399388596,0.6080844068598421,0.3122154673644633,0.46932777664002406,0.4693277766400238,2.7755575615628914e-16,7.631996198886043,2.762606776015371,True,True
GAH1_2024,15,0.29852299261452203,0.18928571428571428,2.081623697066414,0.6001312993480757,0.2882996096719246,1.035460966992746,1.035460966992745,8.881784197001252e-16,7.8949131357387285,2.809788806251945,True,True
GAH2_2024,15,0.375913565013314,0.36428571428571427,2.2971264588309874,0.6001311390344406,0.26125298271121244,1.438887170252317,1.4388871702523174,-4.440892098500626e-16,9.200991347140217,3.03331359195521,True,True
IAH2_2024,49,0.027893448802985422,-0.08112244897959182,2.220887315949998,0.6125165922758713,0.2757981406246465,0.10113718946694279,0.10113718946694285,-5.551115123125783e-17,10.463256874195332,3.2346957931458302,True,True
IAH4_2024,52,0.5187139317993579,0.38777426790745323,2.1430806156873805,0.6148568223093406,0.2869032633716996,1.8079750146561915,1.8079750146561924,-8.881784197001252e-16,7.207674926126308,2.6847113301296117,True,True
ILH1_2024,61,0.12689127163183966,0.045690111052353245,2.380049659621094,0.69643351206138,0.2926130172310156,0.43364875846128215,0.43364875846128204,1.1102230246251565e-16,11.45799938479366,3.384966674103847,True,True
INH1_2024,41,0.36193903996963644,0.3153310104529617,1.9514690010552647,0.6553638144135521,0.3358310145122272,1.0777415555121657,1.0777415555121659,-2.220446049250313e-16,6.623898535567941,2.5736935589863728,True,True
MIH1_2024,54,0.3932502121856299,0.40118162759672193,2.218328025312296,0.602678890712012,0.27168159254858937,1.447467266724368,1.4474672667243675,4.440892098500626e-16,8.46539521981064,2.9095352240195753,True,True
MOH1_2024,60,0.11703647007679766,0.10552931369824954,1.7052026485259695,0.723207757649391,0.42411836403993064,0.27595237556320157,0.27595237556320173,-1.6653345369377348e-16,6.284166177822884,2.5068239223812436,True,True
NCH1_2024,59,-0.09586377303456062,-0.09561659848042083,1.4969158059115906,0.5842004117163385,0.39026938549865375,-0.24563487835991507,-0.24563487835991507,0.0,5.499425131552748,2.3450853143441814,True,True
NEH1_2024,15,0.49786558633210637,0.5035714285714286,1.7858972126193846,0.6001311494003324,0.33603902014053594,1.4815707596215837,1.4815707596215832,4.440892098500626e-16,4.964777831096337,2.228178141688033,True,True
NEH2_2024,15,0.4937111910866835,0.5821428571428571,0.8648571187773438,0.6001311390380839,0.6939078444385063,0.7114938893451808,0.7114938893451807,1.1102230246251565e-16,1.1912713280890121,1.09145376818673,True,True
NYH2_2024,52,0.01184881685707235,0.01246478272005464,2.17550302988975,0.6138547828167574,0.2821668250436159,0.04199223936138078,0.041992239361380704,7.632783294297951e-17,10.15596857961977,3.1868430428277716,True,True
NYH3_2024,50,0.16049327775669478,0.07006002400960383,1.4016674875642872,0.5918653506385074,0.42225802901871307,0.38008342465308637,0.38008342465308637,0.0,4.097372800010376,2.024196828376721,True,True
OHH1_2024,15,0.534006982984613,0.5964285714285712,2.4633748190511233,0.6001312669821683,0.24362158058160843,2.1919527067748055,2.191952706774806,-4.440892098500626e-16,9.698952915774512,3.1143141967011796,True,True
TXH1_2024,14,0.2797095768358694,0.27912087912087913,1.5640424751174147,0.5917378122244763,0.3783387098742659,0.7393099609839705,0.7393099609839708,-3.3306690738754696e-16,4.557276713751704,2.134777907359851,True,True
WIH1_2024,47,0.2860706172700521,0.23866790009250696,2.768840661481738,0.6054670606574162,0.2186716877862528,1.308219734187447,1.3082197341874475,-4.440892098500626e-16,14.147814959107443,3.7613581269413103,True,True
WIH2_2024,56,0.3284057578193589,0.22611073137388926,2.1461028191659928,0.5991241766520247,0.27916844025434584,1.1763713603162083,1.176371360316208,2.220446049250313e-16,8.240381219502236,2.870606420166693,True,True
WIH3_2024,58,0.40009682580798034,0.40262696484050575,2.060772146049272,0.5834079611797289,0.2831016336756038,1.4132621582340887,1.413262158234089,-2.220446049250313e-16,7.250194328912701,2.6926184892986047,True,True
