regime,reference_model,candidate_model,metric,delta_candidate_minus_reference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_improvement,n_genotype_clusters,n_bootstrap
CV-G,G+E,G+E+GxE expanded-grid,rmse,-0.07056256497033564,-0.08859950187900584,-0.05351505208969453,1.0,599,2000
CV-G,G+E,G+E+GxE expanded-grid,mae,-0.06251531039735392,-0.07799023586203024,-0.04740428432809833,1.0,599,2000
CV-G,G+E+GxE legacy-grid,G+E+GxE expanded-grid,rmse,-0.004614318881040469,-0.009401761938259492,0.000159295910973034,0.9725,599,2000
CV-G,G+E+GxE legacy-grid,G+E+GxE expanded-grid,mae,-0.005815159967092032,-0.010090983271702436,-0.0014118118407199704,0.996,599,2000
CV2,G+E,G+E+GxE expanded-grid,rmse,-0.061003552402414174,-0.09501282644419472,-0.026954075927539792,1.0,599,2000
CV2,G+E,G+E+GxE expanded-grid,mae,-0.053155254721882095,-0.08317232928594973,-0.023893983473779093,1.0,599,2000
CV2,G+E+GxE legacy-grid,G+E+GxE expanded-grid,rmse,0.009379686567482226,-0.000727108182546307,0.020283727097006717,0.035,599,2000
CV2,G+E+GxE legacy-grid,G+E+GxE expanded-grid,mae,0.0038630986298227032,-0.0050969275828431386,0.013645733504584647,0.2165,599,2000
