regime,model,n_predictions,n_genotypes,n_environments,rmse,mae,r2,rho
CV-G,G+E normalized-reference,2396,599,4,0.9604874462592838,0.7511995938212747,0.07592116301239671,0.2777608404874483
CV-G,G+E+normalized-GxE-mixture,2396,599,4,0.8901094388292136,0.6885600820927708,0.20638027919294033,0.4562701400715398
CV2,G+E normalized-reference,599,599,4,0.9141131850348305,0.7058161456564627,0.11976922407455304,0.3470334452648536
CV2,G+E+normalized-GxE-mixture,599,599,4,0.8552364408935657,0.6565974666545106,0.2295064675544708,0.48038288636749354
