rmse,mae,r2,predictive_correlation,n,phenotype_name,model
0.7036585559107836,0.31127039382252963,-0.006299357820801266,-0.08984456880264094,133.0,shoots 15d protocol a,Mean baseline
1.1068826601798936,0.6002081017889218,-1.4900405426309176,-0.023807759002658635,133.0,shoots 15d protocol a,Elastic Net
0.727877074429518,0.19469881194396985,-0.07676103644379073,-0.0907048381803786,133.0,shoots 15d protocol a,Kernel Ridge
0.7228039484158024,0.3926765011541944,-0.06180381821737879,0.018397927674387235,133.0,shoots 15d protocol a,Random Forest
0.902209446941591,0.5145615912276903,-0.0008822009042985801,-0.033663423047735466,152.0,shoots 15d protocol b,Mean baseline
1.380049188602899,0.9054164231960811,-1.341840744332084,0.029716188164698603,152.0,shoots 15d protocol b,Elastic Net
0.9672883191163194,0.3505291716898458,-0.15048275224591756,-0.030652562531447845,152.0,shoots 15d protocol b,Kernel Ridge
0.9312711058784711,0.6461215082082346,-0.06640085012969132,0.007155375001083104,152.0,shoots 15d protocol b,Random Forest
1.9300073081806473,0.9461327292557584,-0.005531427354145135,-0.11545645975133643,133.0,shoots 21d protocol a,Mean baseline
2.805293094663483,1.7273076405705012,-1.124389895837759,-0.004348430145390063,133.0,shoots 21d protocol a,Elastic Net
2.0189390027803946,0.610603810221139,-0.10033299935398432,-0.1021431620696842,133.0,shoots 21d protocol a,Kernel Ridge
1.9960722448056725,1.1598669453561044,-0.0755491304521041,-0.02405161457947982,133.0,shoots 21d protocol a,Random Forest
2.0603358862725134,1.1573331689649984,-0.003950070425670527,-0.07339810973809344,152.0,shoots 21d protocol b,Mean baseline
2.978086149481137,1.9254034382983811,-1.0975415577295253,0.042385368229112555,152.0,shoots 21d protocol b,Elastic Net
2.2179827611958496,0.8327853861583996,-0.16346250886603553,-0.08228739023867594,152.0,shoots 21d protocol b,Kernel Ridge
2.1035461103128807,1.4192705359401547,-0.0465021698267678,0.016925705811187932,152.0,shoots 21d protocol b,Random Forest
