aggregate,pooled_rmse,frozen_t1_pooled_rmse,delta_rmse_vs_frozen_t1,environment_ci95_high_vs_t1,year_ci95_high_vs_t1,robust_pooled_improvement_over_t1,worst_year_rmse,frozen_t2_worst_year_rmse,year_rmse_range,frozen_t2_year_rmse_range,reduced_catastrophic_instability_vs_frozen_t2,years_beating_frozen_t1,max_year_deterioration_vs_frozen_t1,aggregate_admitted,branch_decision,post_result_tuning_permitted
T2-Mean12,2.5891634201569875,2.6614189872403107,-0.07225556708332315,0.02253354616137905,0.07843532890845896,False,2.9199526251410037,6.64859641978489,0.4748179363782108,4.186681509999261,True,3,0.19243081142809348,False,CLOSE_T2_ADAPTIVE_BRANCH_USE_SUPPORTED_T1,False
T2-Median12,2.576502211235944,2.6614189872403107,-0.08491677600436676,0.004195953264595808,0.058486641962099295,False,2.6953413019714496,6.64859641978489,0.22077710647647475,4.186681509999261,True,4,0.4332137159920224,False,CLOSE_T2_ADAPTIVE_BRANCH_USE_SUPPORTED_T1,False
