regime,signal,n,spearman_rho_abs_error,p_value
CV-G,width_90,2396,0.0018811733292403582,0.9266714268662214
CV-G,genomic_support_distance,2396,0.10081051424576212,7.630244741175201e-07
CV2,width_90,599,0.017844941556158834,0.6629324829487274
