regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2014-MOH2,Thermal,247,2.2632602411889335,1.879365446933001,-0.44999076261958826,0.0858147146296016
CV-E-B7,2014-MOH2,Thermal+water-MK,247,2.43904757245096,2.0475968425108455,-0.6839794572801583,0.2056473226166668
CV-E-B7,2014-MOH2,Vegetative,247,2.2407051409371848,1.8688580225153721,-0.42123426086987914,-0.01237555521117579
CV-E-B7,2014-MOH2,Water-soil,247,2.0780472939749663,1.6957546964487271,-0.22238243820347914,0.10575900038853657
CV-E-B7,2014-NEH1,All-nonleaky,242,3.1181770974181027,2.63865263051047,-1.805940648422799,0.11120169319007682
CV-E-B7,2014-NEH1,B6R-all-EC-reference,242,3.1981989959933097,2.7199522730552634,-1.951806542387021,0.10957922764635267
CV-E-B7,2014-NEH1,Canopy-growth,242,4.271603579522288,3.859090178975569,-4.265732696509404,0.06564615751780864
CV-E-B7,2014-NEH1,Grain-fill-maturity,242,3.5613969525889333,3.0855410244082364,-2.6603085075958655,0.07769933184367157
CV-E-B7,2014-NEH1,Process-MK,242,4.384778240177869,3.9922313498240682,-4.548456601697428,0.1384391986635005
CV-E-B7,2014-NEH1,Reproductive-transition,242,4.145922516429408,3.7323599468744773,-3.960429576300343,0.1094570681946913
CV-E-B7,2014-NEH1,Stage-MK,242,1.8713819423741298,1.4663395398806025,-0.010652360714065612,0.1754755717205372
CV-E-B7,2014-NEH1,Thermal,242,3.8673668655569062,3.423575767904857,-3.3162607179441626,0.09846225686230603
CV-E-B7,2014-NEH1,Thermal+water-MK,242,3.3684305442334073,2.8774129473411163,-2.274402923258263,0.0674438441708823
CV-E-B7,2014-NEH1,Vegetative,242,2.927374161677645,2.4452193173034864,-1.4730528429203682,0.16980069840702383
CV-E-B7,2014-NEH1,Water-soil,242,2.6376637114531007,2.1479180198988868,-1.0077783857533191,0.11008655554226283
CV-E-B7,2014-NEH2,All-nonleaky,240,2.4903547387138034,2.030616481664495,-0.8885005221396438,-0.0019265413583285343
CV-E-B7,2014-NEH2,B6R-all-EC-reference,240,2.472481240643724,2.0124326289503522,-0.8614899265932146,-0.0027257645132072487
CV-E-B7,2014-NEH2,Canopy-growth,240,2.1289575161175307,1.6937761593531433,-0.38015756476815743,-0.014192112514019606
CV-E-B7,2014-NEH2,Grain-fill-maturity,240,3.4192054619445478,2.976675679394402,-2.55995966353276,-0.022990517159410633
CV-E-B7,2014-NEH2,Process-MK,240,7.910070793631786,7.695852616894501,-18.05265137276895,0.049790749066588084
CV-E-B7,2014-NEH2,Reproductive-transition,240,2.6518338547597717,2.2049673788087243,-1.1413482434416804,-0.0073528553036745275
CV-E-B7,2014-NEH2,Stage-MK,240,3.5012792411009346,3.0700309474177163,-2.732915660233989,0.032603193805743926
CV-E-B7,2014-NEH2,Thermal,240,2.2048706021643945,1.7603345457710433,-0.4803380220923368,0.03463062863140731
CV-E-B7,2014-NEH2,Thermal+water-MK,240,1.8326146175928506,1.4257985988558877,-0.022673429936539202,0.08835003170962415
CV-E-B7,2014-NEH2,Vegetative,240,2.268489351552392,1.808889021485554,-0.5669970180858577,0.010937309352423737
CV-E-B7,2014-NEH2,Water-soil,240,3.4693477928121865,3.0308659840464074,-2.6651382230411933,0.00722295060409129
CV-E-B7,2014-NYH2,All-nonleaky,218,2.2902194623115784,1.8367784598324977,-1.4534148268960903,0.0760429275799623
CV-E-B7,2014-NYH2,B6R-all-EC-reference,218,2.2849851943796615,1.8314213504076176,-1.4422131444008919,0.07545203022751769
CV-E-B7,2014-NYH2,Canopy-growth,218,1.953443066037791,1.5347711122386876,-0.7849181251332671,0.023741540795110247
CV-E-B7,2014-NYH2,Grain-fill-maturity,218,2.255217724860983,1.806121467549161,-1.3789961323974125,0.0835877941983585
CV-E-B7,2014-NYH2,Process-MK,218,4.326198426447424,4.06240774024232,-7.754465863415293,0.05293294857940036
CV-E-B7,2014-NYH2,Reproductive-transition,218,2.2055572697176875,1.7573148056608114,-1.275377514130454,0.0442700619243005
CV-E-B7,2014-NYH2,Stage-MK,218,2.025765564990325,1.712820835279234,-0.9195310985594074,0.05052788607026354
CV-E-B7,2014-NYH2,Thermal,218,2.1169919782652196,1.6882171455675592,-1.0963085630279523,0.13677921295802267
CV-E-B7,2014-NYH2,Thermal+water-MK,218,3.022021546757952,2.6551928770899527,-3.271809690231837,0.17383289330626878
