regime,model,n_predictions,n_genotypes,n_environments,rmse,mae,r2,rho
CV-G,PCA+Kernel,2396,599,4,0.8834871176882466,0.6797509056695912,0.2181452461780431,0.4672710046463776
CV-G,Random Forest,2396,599,4,0.8795562127684711,0.6783286960506991,0.22508719110309383,0.4775165751065621
CV-G,XGBoost,2396,599,4,0.8821088194081196,0.6808283436551911,0.22058283344937413,0.4719496438922045
CV-G,LightGBM,2396,599,4,0.8849479231707602,0.6777107509885459,0.2155575866089955,0.4736287706007173
CV2,PCA+Kernel,599,599,4,0.8462402338683461,0.6440140891640783,0.24563081112911178,0.49705549979534613
CV2,Random Forest,599,599,4,0.8439877767573726,0.6442185786665847,0.24964131026859637,0.5030244587028933
CV2,XGBoost,599,599,4,0.8452209544575437,0.639508466440896,0.2474469618661298,0.5005477466570035
CV2,LightGBM,599,599,4,0.855453825679346,0.6531687503143886,0.22911472826385804,0.4872512336364898
