regime,model,n,rmse,mae,r2,correlation
CV-E-B7,B6R-all-EC-reference,52167,2.569270427588957,2.050748141005031,0.1497071968086252,0.4002357678981049
CV-E-B7,All-nonleaky,52167,2.5772293448803882,2.0601391931254582,0.1444310749642942,0.39517693533612713
CV-E-B7,Thermal,52167,2.631506404742502,2.116648312790344,0.10801463339197592,0.3599198650453368
CV-E-B7,Water-soil,52167,2.6183397696762944,2.1018452735522617,0.11691832776064648,0.3625360087738556
CV-E-B7,Canopy-growth,52167,2.6922956689896655,2.133116903976146,0.06632792013695432,0.3526543861480456
CV-E-B7,Thermal+water-MK,52167,2.583133867245223,2.0689070915731005,0.140506307692274,0.3922961283151796
CV-E-B7,Vegetative,52167,2.8436955002206554,2.294629617812427,-0.041633762997916435,0.22300157537058507
CV-E-B7,Reproductive-transition,52167,2.5728574662985007,2.0534243524921063,0.14733129874041329,0.4010871142990495
CV-E-B7,Grain-fill-maturity,52167,2.6509561491371567,2.128268421702725,0.0947803877210791,0.3408841431593732
CV-E-B7,Process-MK,52167,2.561004741185461,2.041582801081496,0.15516940753679687,0.4161890625670525
CV-E-B7,Stage-MK,52167,2.6001639557059946,2.0833286172983447,0.12913600741444853,0.38196342955948265
CV-GE-B7,B6R-all-EC-reference,52167,2.5726418280365184,2.05369264391238,0.14747422176973246,0.3979122078651402
CV-GE-B7,All-nonleaky,52167,2.580499450532589,2.062966135881455,0.1422585280999492,0.39290915515906144
CV-GE-B7,Thermal,52167,2.6351006508659465,2.1197967460069997,0.10557633082127793,0.3574985996273101
CV-GE-B7,Water-soil,52167,2.6215481313213864,2.104711525957052,0.11475284775169026,0.3601835600174558
CV-GE-B7,Canopy-growth,52167,2.6962887011546495,2.1367849855611536,0.0635563468773731,0.35030798015869086
CV-GE-B7,Thermal+water-MK,52167,2.5869643701594587,2.0725423594104115,0.13795534880556248,0.38973745111792846
CV-GE-B7,Vegetative,52167,2.846485582230851,2.2974970253120683,-0.04367875645700514,0.2206345573719323
CV-GE-B7,Reproductive-transition,52167,2.576510269849522,2.0567311173186185,0.1449084344403584,0.39871747270024244
CV-GE-B7,Grain-fill-maturity,52167,2.6547080223683386,2.1314483855034587,0.09221627696680723,0.3383238220390115
CV-GE-B7,Process-MK,52167,2.5641719302528787,2.044522136204784,0.1530785150733297,0.41409409572343636
CV-GE-B7,Stage-MK,52167,2.603667793040702,2.086304031351021,0.12678736959877324,0.37958676062783736
