within_year_t2_novelty_quartile,n_environments,mean_t2_nearest_z,mean_rmse_t2_minus_t1,median_rmse_t2_minus_t1,fraction_t2_worse
1,31,1.7298027667927356,0.10641045294011624,-0.03893686148024722,0.3548387096774194
2,27,2.564775353302579,0.6772239969848499,0.022631755095930295,0.6296296296296297
3,26,3.7254796416182816,1.013274920534458,0.056705311655456336,0.5384615384615384
4,29,5.395087582268486,0.35766386202021233,0.03782283599273817,0.5517241379310345
