regime,model,n,rmse,mae,r2,correlation
CV-E-continuous-B6R,B6-fixed-G+E,52167,2.649517041415679,2.123173092873039,0.09576294259097806,0.3497498134566254
CV-E-continuous-B6R,Selected-G,52167,2.687616508894186,2.152427505621801,0.0695705095307072,0.2722202566551644
CV-E-continuous-B6R,Selected-G+E,52167,2.569270427588957,2.050748141005031,0.1497071968086252,0.4002357678981049
CV-E-continuous-B6R,Selected-G+E+GxE,52167,2.566649268649098,2.044482583705188,0.15144124214432297,0.42597451046170476
CV-GE-continuous-B6R,B6-fixed-G+E,52167,2.652712495348424,2.126126909092551,0.09358051445221627,0.34744667239262617
CV-GE-continuous-B6R,Selected-G,52167,2.691670521442244,2.155849882151476,0.06676146467840305,0.26814449158971027
CV-GE-continuous-B6R,Selected-G+E,52167,2.5726418280365184,2.05369264391238,0.14747422176973246,0.3979122078651402
CV-GE-continuous-B6R,Selected-G+E+GxE,52167,2.5723554628893255,2.049851261574273,0.14766400340185937,0.4229416674098418
