rmse,mae,r2,predictive_correlation,n,specification,scope,rmse_improvement_vs_mean,mae_improvement_vs_mean,rmse_improvement_vs_X15,mae_improvement_vs_X15
2.0020938424291597,1.0639756205373987,-0.0030710974991945417,-0.06854962268607522,285.0,Mean,pooled,0.0,0.0,-1.2624160273234342,-0.731810978855808
1.9312768893662267,1.0197747937552126,-0.006854762927694047,-0.07707972366056745,133.0,Mean,protocol_A,,,,
2.0620646008488293,1.1026513439718115,-0.005635495828021142,-0.06140798587911195,152.0,Mean,protocol_B,,,,
2.08036468244541,1.2697861847024254,-0.08303327883956024,0.10215510986857779,285.0,G,pooled,-0.07827084001625018,-0.20581056416502674,-1.3406868673396843,-0.9376215430208348
2.058764996730388,1.2238006944848128,-0.1441719411441753,0.05155567526113438,133.0,G,protocol_A,,,,
2.0990820909732473,1.3100234886428366,-0.04206523449998745,0.14358850733728012,152.0,G,protocol_B,,,,
2.0818365226582407,1.2734149566147694,-0.08456629450180153,0.10391242554155852,285.0,G+P,pooled,-0.07974268022908104,-0.20943933607737075,-1.3421587075525152,-0.9412503149331788
2.0608566515978595,1.2022235124524605,-0.14649802356402697,0.04713684789461034,133.0,G+P,protocol_A,,,,
2.1000219831307825,1.33570747025679,-0.042998640794082776,0.14203784486222326,152.0,G+P,protocol_B,,,,
0.7396778151057256,0.33216464168159066,0.8630859417615446,0.930576689196102,285.0,X15,pooled,1.2624160273234342,0.731810978855808,0.0,0.0
0.7524718592472344,0.3079008125083764,0.8471525253732517,0.9365798396377059,133.0,X15,protocol_A,,,,
0.7282986818332823,0.3533954922081531,0.8745544937908649,0.9356149659266666,152.0,X15,protocol_B,,,,
0.7383543171827127,0.3348782132064879,0.8635754612617033,0.9307985131340631,285.0,P+X15,pooled,1.263739525246447,0.7290974073309108,0.0013234979230128951,-0.0027135715248972625
0.7498242131002127,0.34870542732751,0.8482262507452898,0.9357121592941932,133.0,P+X15,protocol_A,,,,
0.728169967424826,0.3227794008505935,0.8745988305930741,0.9353429953518806,152.0,P+X15,protocol_B,,,,
0.8284303355577034,0.4302380443677431,0.8282586612074399,0.9216394560653278,285.0,G+X15,pooled,1.1736635068714563,0.6337375761696555,-0.08875252045197779,-0.09807340268615244
0.905782416631201,0.44539394468883126,0.7785245905452898,0.9124306481617748,133.0,G+X15,protocol_A,,,,
0.754267841116132,0.41697663158679105,0.8654489027702194,0.9353455766428702,152.0,G+X15,protocol_B,,,,
0.8238366987372847,0.43214852305802254,0.8301579882476283,0.9222562215236559,285.0,G+P+X15,pooled,1.178257143691875,0.6318270974793762,-0.0841588836315591,-0.09998388137643188
0.9009027402953219,0.4684348300668815,0.7809044495884597,0.9115416844838,133.0,G+P+X15,protocol_A,,,,
0.7499352772484661,0.400398004425271,0.8669902039779093,0.9359021939247837,152.0,G+P+X15,protocol_B,,,,
