environment,year,city,horizon,issuance_date,planting_date,uses_current_year_realized_weather,max_current_year_weather_date_used,uses_future_weather,uses_observed_phenology,historical_weather_years_used,plant_population_proxy,ssurgo_available,ssurgo_mukey,ssurgo_mapunit,ssurgo_component,wx_t2m,wx_t2m_min,wx_t2m_max,wx_prectotcorr,wx_allsky_sfc_sw_dwn,wx_rh2m,wx_ws2m,wx_n_days
2014-NYH2,2014,Aurora,T0_preseason,2014-05-27,2014-05-27,False,,False,False,10,,True,289425,"Kendaia and Lyons soils, 0 to 3 percent slopes",Kendaia,20.23649180327869,2.68,37.39,2082.5,12776.0,73.26513114754098,0.25640983606557377,610
2014-NYH2,2014,Aurora,T1_30DAP,2014-06-26,2014-05-27,True,2014-06-26,False,False,0,,True,289425,"Kendaia and Lyons soils, 0 to 3 percent slopes",Kendaia,18.106129032258064,7.88,27.95,119.58,646.9099999999999,78.08806451612905,0.27161290322580645,31
2014-NYH2,2014,Aurora,T2_60DAP_reproductive_window_proxy,2014-07-26,2014-05-27,True,2014-07-26,False,False,0,,True,289425,"Kendaia and Lyons soils, 0 to 3 percent slopes",Kendaia,19.4627868852459,7.88,31.27,192.09,1306.76,75.41081967213115,0.26754098360655737,61
2014-WIH1,2014,Madison,T0_preseason,2014-05-09,2014-05-09,False,,False,False,10,,True,753560,"Plano silt loam, gravelly substratum, 2 to 6 percent slopes",Plano,18.439295081967213,-0.82,40.81,2326.5299999999997,12970.93,76.48049180327868,2.964918032786885,610
2014-WIH1,2014,Madison,T1_30DAP,2014-06-08,2014-05-09,True,2014-06-08,False,False,0,,True,753560,"Plano silt loam, gravelly substratum, 2 to 6 percent slopes",Plano,16.33258064516129,2.79,27.95,123.78999999999998,677.9500000000002,77.15387096774194,2.8367741935483872,31
2014-WIH1,2014,Madison,T2_60DAP_reproductive_window_proxy,2014-07-08,2014-05-09,True,2014-07-08,False,False,0,,True,753560,"Plano silt loam, gravelly substratum, 2 to 6 percent slopes",Plano,18.209180327868857,2.79,28.89,319.00999999999993,1317.65,78.95459016393445,2.8945901639344265,61
2015-ILH1,2015,Urbana,T0_preseason,2015-04-30,2015-04-30,False,,False,False,10,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,19.74555737704918,-1.79,41.49,2297.28,12905.54,77.07080327868853,2.92255737704918,610
2015-ILH1,2015,Urbana,T1_30DAP,2015-05-30,2015-04-30,True,2015-05-30,False,False,0,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,18.46451612903226,1.72,28.45,128.29999999999998,623.1899999999998,75.66806451612904,3.3906451612903226,31
2015-ILH1,2015,Urbana,T2_60DAP_reproductive_window_proxy,2015-06-29,2015-04-30,True,2015-06-29,False,False,0,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,20.07868852459016,1.72,31.08,340.10999999999996,1214.2800000000002,78.91049180327869,3.101147540983606,61
2015-INH1,2015,West Lafayette,T0_preseason,2015-05-14,2015-05-14,False,,False,False,10,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,20.862459016393444,2.05,40.52,2250.2,13591.150000000001,77.15698360655738,2.6167540983606554,610
2015-INH1,2015,West Lafayette,T1_30DAP,2015-06-13,2015-05-14,True,2015-06-13,False,False,0,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,19.14903225806452,4.75,30.78,157.48000000000002,638.66,78.75741935483873,3.2422580645161294,31
2015-INH1,2015,West Lafayette,T2_60DAP_reproductive_window_proxy,2015-07-13,2015-05-14,True,2015-07-13,False,False,0,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,20.253114754098366,4.75,30.78,425.08000000000004,1176.5400000000002,81.33918032786886,2.8619672131147538,61
2015-KSH1,2015,Manhattan,T0_preseason,2015-04-23,2015-04-23,False,,False,False,10,,True,1472339,"Wymore silty clay loam, 1 to 3 percent slopes, eroded",Wymore,20.00670491803279,-5.46,36.86,2592.3100000000004,13197.939999999999,68.68749180327869,3.5862459016393444,610
2015-KSH1,2015,Manhattan,T1_30DAP,2015-05-23,2015-04-23,True,2015-05-23,False,False,0,,True,1472339,"Wymore silty clay loam, 1 to 3 percent slopes, eroded",Wymore,16.437741935483874,3.8,30.6,201.09,553.9499999999999,70.06483870967742,3.6987096774193553,31
2015-KSH1,2015,Manhattan,T2_60DAP_reproductive_window_proxy,2015-06-22,2015-04-23,True,2015-06-22,False,False,0,,True,1472339,"Wymore silty clay loam, 1 to 3 percent slopes, eroded",Wymore,19.34409836065574,3.8,34.17,371.76,1175.18,75.56081967213115,3.3224590163934424,61
2015-MNH1,2015,Waseca,T0_preseason,2015-05-19,2015-05-19,False,,False,False,10,,True,455434,"Nicollet clay loam, 1 to 3 percent slopes",Nicollet,20.751377049180327,2.43,39.56,2121.9399999999996,13356.16,70.39803278688525,3.083573770491803,610
2015-MNH1,2015,Waseca,T1_30DAP,2015-06-18,2015-05-19,True,2015-06-18,False,False,0,,True,455434,"Nicollet clay loam, 1 to 3 percent slopes",Nicollet,17.88,0.41,33.41,112.62000000000002,634.75,71.89387096774192,2.85741935483871,31
2015-MNH1,2015,Waseca,T2_60DAP_reproductive_window_proxy,2015-07-18,2015-05-19,True,2015-07-18,False,False,0,,True,455434,"Nicollet clay loam, 1 to 3 percent slopes",Nicollet,19.81016393442623,0.41,33.41,244.94,1308.0000000000002,72.37409836065574,2.6796721311475404,61
2015-MOH1,2015,Columbia,T0_preseason,2015-05-04,2015-05-04,False,,False,False,10,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,21.429180327868853,-1.16,41.66,2226.14,13700.619999999999,76.25524590163934,2.4457704918032785,610
2015-MOH1,2015,Columbia,T1_30DAP,2015-06-03,2015-05-04,True,2015-06-03,False,False,0,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,18.309354838709677,3.27,27.47,172.56,546.2,80.0558064516129,2.7345161290322575,31
2015-MOH1,2015,Columbia,T2_60DAP_reproductive_window_proxy,2015-07-03,2015-05-04,True,2015-07-03,False,False,0,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,21.09983606557377,3.27,31.39,398.95000000000005,1142.75,82.21540983606556,2.5418032786885245,61
2015-MOH2,2015,Columbia,T0_preseason,2015-05-05,2015-05-05,False,,False,False,10,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,21.59486885245902,1.61,41.66,2303.13,13688.339999999998,76.24893442622951,2.4464918032786884,610
2015-MOH2,2015,Columbia,T1_30DAP,2015-06-04,2015-05-05,True,2015-06-04,False,False,0,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,18.341290322580647,3.27,27.47,184.87,540.4599999999999,80.43161290322581,2.7087096774193546,31
2015-MOH2,2015,Columbia,T2_60DAP_reproductive_window_proxy,2015-07-04,2015-05-05,True,2015-07-04,False,False,0,,True,2532763,"Mexico silt loam, 1 to 4 percent slopes, eroded",Mexico,21.110655737704917,3.27,31.39,397.29,1149.91,82.16377049180326,2.5272131147540984,61
2015-NEH2,2015,North Platte,T0_preseason,2015-04-23,2015-04-23,False,,False,False,10,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,17.369426229508196,-4.89,40.61,2046.83,13967.97,57.82947540983606,3.7155901639344266,610
2015-NEH2,2015,North Platte,T1_30DAP,2015-05-23,2015-04-23,True,2015-05-23,False,False,0,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,13.271935483870967,0.28,29.65,118.4,596.28,64.54032258064515,3.941612903225807,31
2015-NEH2,2015,North Platte,T2_60DAP_reproductive_window_proxy,2015-06-22,2015-04-23,True,2015-06-22,False,False,0,,True,2745909,"Holdrege silt loam, 1 to 3 percent slopes, plains and breaks",Holdrege,16.554426229508195,0.28,34.1,241.84,1279.61,67.58524590163934,3.5703278688524596,61
2015-NEH3,2015,Brule,T0_preseason,2015-06-10,2015-06-10,False,,False,False,10,,True,1698896,"Kuma loam, 1 to 3 percent slopes",Kuma,24.57172131147541,7.61,43.15,1731.75,15544.59,54.729950819672126,2.941377049180328,610
2015-NEH3,2015,Brule,T1_30DAP,2015-07-10,2015-06-10,True,2015-07-10,False,False,0,,True,1698896,"Kuma loam, 1 to 3 percent slopes",Kuma,22.400645161290324,11.61,37.63,58.60000000000001,742.1499999999999,61.58806451612902,2.7722580645161288,31
2015-NEH3,2015,Brule,T2_60DAP_reproductive_window_proxy,2015-08-09,2015-06-10,True,2015-08-09,False,False,0,,True,1698896,"Kuma loam, 1 to 3 percent slopes",Kuma,23.8927868852459,11.61,37.63,133.11000000000004,1477.4699999999998,57.519180327868845,2.70983606557377,61
2015-NYH2,2015,Aurora,T0_preseason,2015-05-07,2015-05-07,False,,False,False,10,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,17.53926229508197,-2.32,35.62,1865.75,12612.99,74.31731147540984,0.2669836065573771,610
2015-NYH2,2015,Aurora,T1_30DAP,2015-06-06,2015-05-07,True,2015-06-06,False,False,0,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,16.75548387096774,-1.03,30.48,108.12999999999998,655.4599999999998,72.34903225806451,0.26096774193548394,31
2015-NYH2,2015,Aurora,T2_60DAP_reproductive_window_proxy,2015-07-06,2015-05-07,True,2015-07-06,False,False,0,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,18.034754098360654,-1.03,30.48,282.2199999999999,1236.1999999999998,75.05901639344262,0.26016393442622954,61
2015-NYH3,2015,Aurora,T0_preseason,2015-05-23,2015-05-23,False,,False,False,10,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,20.000622950819675,1.82,37.39,1941.1899999999998,12888.16,73.27391803278688,0.2595081967213115,610
2015-NYH3,2015,Aurora,T1_30DAP,2015-06-22,2015-05-23,True,2015-06-22,False,False,0,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,18.61193548387097,-1.03,30.08,148.75999999999996,630.1200000000001,75.56161290322581,0.2548387096774194,31
2015-NYH3,2015,Aurora,T2_60DAP_reproductive_window_proxy,2015-07-22,2015-05-23,True,2015-07-22,False,False,0,,True,289443,"Lima silt loam, 0 to 3 percent slopes",Lima,19.190491803278682,-1.03,31.26,281.37,1233.5099999999998,75.29016393442623,0.26344262295081966,61
2015-OHH1,2015,South Charleston,T0_preseason,2015-05-21,2015-05-21,False,,False,False,10,,True,171729,"Kokomo silty clay loam, 0 to 2 percent slopes",Kokomo,21.457377049180327,2.03,37.71,1888.39,13702.07,76.77916393442622,2.3281803278688527,610
2015-OHH1,2015,South Charleston,T1_30DAP,2015-06-20,2015-05-21,True,2015-06-20,False,False,0,,True,171729,"Kokomo silty clay loam, 0 to 2 percent slopes",Kokomo,20.721935483870972,5.66,31.2,145.76,610.76,79.13709677419355,2.8722580645161293,31
2015-OHH1,2015,South Charleston,T2_60DAP_reproductive_window_proxy,2015-07-20,2015-05-21,True,2015-07-20,False,False,0,,True,171729,"Kokomo silty clay loam, 0 to 2 percent slopes",Kokomo,20.966885245901636,5.66,31.2,303.42999999999995,1142.15,81.07737704918031,2.651147540983607,61
2015-SDH1,2015,New Underwood,T0_preseason,2015-05-22,2015-05-22,False,,False,False,10,,True,354335,"Nunn clay loam, 2 to 6 percent slopes",Nunn,20.972573770491802,2.5,44.18,1443.11,14933.59,53.93680327868852,2.5703278688524587,610
2015-SDH1,2015,New Underwood,T1_30DAP,2015-06-21,2015-05-22,True,2015-06-21,False,False,0,,True,354335,"Nunn clay loam, 2 to 6 percent slopes",Nunn,17.814193548387102,2.52,35.41,166.41,671.4300000000001,68.87064516129034,2.4103225806451616,31
2015-SDH1,2015,New Underwood,T2_60DAP_reproductive_window_proxy,2015-07-21,2015-05-22,True,2015-07-21,False,False,0,,True,354335,"Nunn clay loam, 2 to 6 percent slopes",Nunn,20.16131147540984,2.52,35.41,220.57999999999998,1419.08,63.57131147540983,2.342131147540983,61
2015-TXH1,2015,College Station,T0_preseason,2015-03-07,2015-03-07,False,,False,False,10,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,18.65773770491803,-2.47,36.27,1491.83,11484.029999999999,74.16039344262295,2.695229508196721,610
2015-TXH1,2015,College Station,T1_30DAP,2015-04-06,2015-03-07,True,2015-04-06,False,False,0,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,16.934516129032257,1.81,27.95,158.39000000000004,438.96,85.8458064516129,2.132903225806452,31
2015-TXH1,2015,College Station,T2_60DAP_reproductive_window_proxy,2015-05-06,2015-03-07,True,2015-05-06,False,False,0,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,18.853770491803278,1.81,30.39,326.4,1009.27,84.54442622950822,2.0808196721311476,61
2015-TXH2,2015,College Station,T0_preseason,2015-04-25,2015-04-25,False,,False,False,10,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,25.724622950819672,6.33,42.0,1710.0000000000002,13831.75,68.99660655737706,2.3941639344262295,610
2015-TXH2,2015,College Station,T1_30DAP,2015-05-25,2015-04-25,True,2015-05-25,False,False,0,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,22.658064516129027,8.7,30.39,284.26,523.0899999999999,86.26290322580643,2.3770967741935487,31
2015-TXH2,2015,College Station,T2_60DAP_reproductive_window_proxy,2015-06-24,2015-04-25,True,2015-06-24,False,False,0,,True,363467,"Ships clay, 0 to 1 percent slopes, rarely flooded",Ships,24.146229508196722,8.7,32.15,467.36000000000007,1214.8400000000001,85.57180327868852,2.080983606557377,61
2016-DEH1,2016,Georgetown,T0_preseason,2016-04-25,2016-04-25,False,,False,False,10,,True,1603413,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",Hammonton,19.804081967213115,2.14,37.09,1850.2,13293.740000000002,76.49654098360655,2.8918032786885246,610
2016-DEH1,2016,Georgetown,T1_30DAP,2016-05-25,2016-04-25,True,2016-05-25,False,False,0,,True,1603413,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",Hammonton,14.648709677419356,4.53,27.55,146.24,472.12000000000006,83.7558064516129,2.6770967741935485,31
2016-DEH1,2016,Georgetown,T2_60DAP_reproductive_window_proxy,2016-06-24,2016-04-25,True,2016-06-24,False,False,0,,True,1603413,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",Hammonton,18.255409836065578,4.53,31.16,252.58999999999995,1151.9,81.3118032786885,2.667213114754098,61
2016-GAH2,2016,Watkinsville,T0_preseason,2016-05-25,2016-05-25,False,,False,False,10,,True,2580475,"Chewacla silt loam, 0 to 2 percent slopes, frequently flooded",Chewacla,26.645557377049183,9.44,44.51,1860.7399999999998,13885.82,68.72121311475411,0.08029508196721312,610
2016-GAH2,2016,Watkinsville,T1_30DAP,2016-06-24,2016-05-25,True,2016-06-24,False,False,0,,True,2580475,"Chewacla silt loam, 0 to 2 percent slopes, frequently flooded",Chewacla,26.257741935483867,14.89,39.55,58.85,757.7900000000001,67.48258064516129,0.08967741935483871,31
2016-GAH2,2016,Watkinsville,T2_60DAP_reproductive_window_proxy,2016-07-24,2016-05-25,True,2016-07-24,False,False,0,,True,2580475,"Chewacla silt loam, 0 to 2 percent slopes, frequently flooded",Chewacla,27.650491803278687,14.89,40.3,144.82,1461.9999999999998,65.96032786885246,0.07950819672131147,61
2016-IAH2,2016,Carroll,T0_preseason,2016-04-25,2016-04-25,False,,False,False,10,,True,2765524,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,17.628836065573772,-3.99,35.48,2564.33,12552.4,71.99093442622951,3.5044262295081965,610
2016-IAH2,2016,Carroll,T1_30DAP,2016-05-25,2016-04-25,True,2016-05-25,False,False,0,,True,2765524,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,13.393548387096777,0.32,27.04,145.16,591.5600000000001,75.68709677419355,3.221612903225806,31
2016-IAH2,2016,Carroll,T2_60DAP_reproductive_window_proxy,2016-06-24,2016-04-25,True,2016-06-24,False,False,0,,True,2765524,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,17.625245901639346,0.32,31.28,197.42999999999998,1370.7599999999998,76.11377049180325,3.0416393442622955,61
2016-IAH3,2016,Keystone,T0_preseason,2016-04-24,2016-04-24,False,,False,False,10,,True,402815,"Muscatine silty clay loam, 0 to 2 percent slopes",Muscatine,17.45511475409836,-4.79,35.79,2763.19,12367.13,75.48754098360656,3.326573770491804,610
2016-IAH3,2016,Keystone,T1_30DAP,2016-05-24,2016-04-24,True,2016-05-24,False,False,0,,True,402815,"Muscatine silty clay loam, 0 to 2 percent slopes",Muscatine,13.517096774193545,0.23,27.77,64.64,579.44,72.96225806451613,3.3048387096774197,31
2016-IAH3,2016,Keystone,T2_60DAP_reproductive_window_proxy,2016-06-23,2016-04-24,True,2016-06-23,False,False,0,,True,402815,"Muscatine silty clay loam, 0 to 2 percent slopes",Muscatine,17.75245901639344,0.23,32.23,181.47,1381.0699999999997,74.32065573770493,3.0437704918032784,61
2016-IAH4,2016,Ames,T0_preseason,2016-04-26,2016-04-26,False,,False,False,10,,True,2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,18.04255737704918,-2.52,35.36,2603.69,12621.67,73.62855737704918,3.319672131147541,610
2016-IAH4,2016,Ames,T1_30DAP,2016-05-26,2016-04-26,True,2016-05-26,False,False,0,,True,2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,13.913548387096775,1.06,27.57,99.84000000000002,577.02,73.95580645161289,3.077096774193548,31
2016-IAH4,2016,Ames,T2_60DAP_reproductive_window_proxy,2016-06-25,2016-04-26,True,2016-06-25,False,False,0,,True,2765522,"Clarion loam, Bemis moraine, 2 to 6 percent slopes",Clarion,18.14196721311475,1.06,32.28,179.08999999999997,1377.08,74.48688524590163,2.949672131147541,61
2016-ILH1,2016,Urbana,T0_preseason,2016-04-26,2016-04-26,False,,False,False,10,,True,242965,"Flanagan silt loam, 0 to 2 percent slopes",Flanagan,19.13995081967213,-0.24,34.94,2534.5899999999997,12575.329999999998,77.45462295081967,3.0222131147540985,610
2016-ILH1,2016,Urbana,T1_30DAP,2016-05-26,2016-04-26,True,2016-05-26,False,False,0,,True,242965,"Flanagan silt loam, 0 to 2 percent slopes",Flanagan,15.091612903225807,1.92,27.48,118.37,574.5,77.37967741935483,3.040967741935484,31
2016-ILH1,2016,Urbana,T2_60DAP_reproductive_window_proxy,2016-06-25,2016-04-26,True,2016-06-25,False,False,0,,True,242965,"Flanagan silt loam, 0 to 2 percent slopes",Flanagan,19.01901639344262,1.92,31.7,215.13,1317.9299999999998,77.2327868852459,2.807213114754098,61
2016-INH1,2016,West Lafayette,T0_preseason,2016-05-19,2016-05-19,False,,False,False,10,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,21.577,2.05,40.52,2425.63,13633.11,77.97019672131148,2.564983606557377,610
2016-INH1,2016,West Lafayette,T1_30DAP,2016-06-18,2016-05-19,True,2016-06-18,False,False,0,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,20.858709677419355,6.14,31.79,67.46999999999998,729.21,74.79451612903226,2.677741935483871,31
2016-INH1,2016,West Lafayette,T2_60DAP_reproductive_window_proxy,2016-07-18,2016-05-19,True,2016-07-18,False,False,0,,True,164263,"Raub-Brenton complex, 0 to 1 percent slopes",Raub,21.851147540983607,6.14,31.79,226.17,1408.6500000000003,76.85524590163936,2.5160655737704922,61
2016-MIH1,2016,East Lansing,T0_preseason,2016-05-24,2016-05-24,False,,False,False,10,,True,3117279,"Conover loam, 0 to 4 percent slopes",Conover,20.238622950819675,0.25,38.68,1963.4700000000003,13524.06,75.3492131147541,2.5990983606557374,610
2016-MIH1,2016,East Lansing,T1_30DAP,2016-06-23,2016-05-24,True,2016-06-23,False,False,0,,True,3117279,"Conover loam, 0 to 4 percent slopes",Conover,20.07903225806452,6.56,31.45,38.38,726.94,73.38258064516127,2.7993548387096774,31
2016-MIH1,2016,East Lansing,T2_60DAP_reproductive_window_proxy,2016-07-23,2016-05-24,True,2016-07-23,False,False,0,,True,3117279,"Conover loam, 0 to 4 percent slopes",Conover,21.575737704918026,6.56,35.16,100.7,1425.8999999999999,70.10360655737705,2.6739344262295086,61
2016-MNH1,2016,Waseca,T0_preseason,2016-05-17,2016-05-17,False,,False,False,10,,True,2835046,"Webster clay loam, 0 to 2 percent slopes",Webster,20.24272131147541,0.41,39.56,2202.13,13368.4,70.71426229508198,3.0761967213114754,610
2016-MNH1,2016,Waseca,T1_30DAP,2016-06-16,2016-05-17,True,2016-06-16,False,False,0,,True,2835046,"Webster clay loam, 0 to 2 percent slopes",Webster,19.308064516129033,4.84,31.72,146.31,684.82,74.46193548387096,2.76258064516129,31
2016-MNH1,2016,Waseca,T2_60DAP_reproductive_window_proxy,2016-07-16,2016-05-17,True,2016-07-16,False,False,0,,True,2835046,"Webster clay loam, 0 to 2 percent slopes",Webster,20.420163934426228,4.84,31.72,261.08,1432.49,74.24524590163934,2.7890163934426235,61
