from_year,to_year,spearman_rank_rho,rank_inversion_score,mean_absolute_rank_change,normalized_mean_absolute_rank_change,from_year_winner,to_year_oracle_winner,winner_persisted,lagged_winner_next_year_rank,lagged_winner_next_year_rmse,to_year_oracle_rmse,lagged_winner_regret,lagged_winner_relative_regret_pct,to_year_frozen_t1_rmse,lagged_winner_beats_frozen_t1,top1_overlap_count,top1_overlap_fraction,top3_overlap_count,top3_overlap_fraction,top5_overlap_count,top5_overlap_fraction
2016,2017,0.013986013986013986,0.493006993006993,4.333333333333333,0.3939393939393939,diagnostic_rank8_gamma4,diagnostic_rank16_gamma4,False,7.0,2.99885902880034,2.554957697176131,0.44390133162420886,17.374116687522115,2.262105036655891,False,0,0.0,0,0.0,3,0.6
2017,2018,-0.5874125874125874,0.7937062937062938,5.333333333333333,0.4848484848484848,diagnostic_rank16_gamma4,diagnostic_rank32_gamma4,False,12.0,2.697237846192605,2.357056768000126,0.340181078192479,14.432451640997591,2.552737444147713,False,0,0.0,0,0.0,1,0.2
2018,2019,0.5034965034965035,0.24825174825174823,2.8333333333333335,0.25757575757575757,diagnostic_rank32_gamma4,diagnostic_rank32_gamma0.5,False,4.0,2.685897954950544,2.614415316085968,0.07148263886457595,2.734173045298417,2.9195123659302205,True,0,0.0,2,0.6666666666666666,4,0.8
2019,2020,0.8951048951048951,0.05244755244755245,1.0,0.09090909090909091,diagnostic_rank32_gamma0.5,diagnostic_rank32_gamma0.5,True,1.0,2.404798402743681,2.404798402743681,0.0,0.0,2.745177446719631,True,1,1.0,3,1.0,3,0.6
2020,2021,-0.8741258741258742,0.9370629370629371,5.666666666666667,0.5151515151515151,diagnostic_rank32_gamma0.5,diagnostic_rank16_gamma4,False,12.0,2.86037598473498,2.416774459340256,0.4436015253947243,18.355106480056936,2.4752077534079464,False,0,0.0,0,0.0,0,0.0
