regime,model,rmse,frozen_classical_rmse,rmse_delta_vs_frozen,beats_frozen_point_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_improvement,robustly_beats_frozen
CV-G,PCA+Kernel,0.8834871176882466,0.8901094388292136,-0.006622321140966947,True,-0.019337553519776934,0.0067142810259260815,0.8325,False
CV-G,Random Forest,0.8795562127684711,0.8901094388292136,-0.010553226060742493,True,-0.023350505880924653,0.0012366271033107975,0.958,False
CV-G,XGBoost,0.8821088194081196,0.8901094388292136,-0.00800061942109398,True,-0.019616711010747634,0.0030153024726661077,0.9205,False
CV-G,LightGBM,0.8849479231707602,0.8901094388292136,-0.005161515658453353,True,-0.01955312110647101,0.009102934913048283,0.7595,False
CV2,PCA+Kernel,0.8462402338683461,0.8469263874382605,-0.0006861535699144161,True,-0.02280425614736104,0.02037176577012847,0.5185,False
CV2,Random Forest,0.8439877767573726,0.8469263874382605,-0.0029386106808879653,True,-0.02105495024231443,0.017145925560624803,0.6225,False
CV2,XGBoost,0.8452209544575437,0.8469263874382605,-0.0017054329807167923,True,-0.022430208216504214,0.02033991356038267,0.565,False
CV2,LightGBM,0.855453825679346,0.8469263874382605,0.008527438241085483,False,-0.014850549575706386,0.03430008091011884,0.247,False
