target_environment_retention,realized_cell_retention,n,n_environment_years,rmse,mae,adaptive_90_coverage,selection_uses_outcome,diagnostic_only_no_threshold_selection
1.0,1.0,36445,77,2.686459615278823,2.183090653087729,0.8858005213335163,False,True
0.95,0.9830703800246947,35828,75,2.698798426099498,2.195984514384573,0.8843362733057943,False,True
0.9,0.9127726711483056,33266,71,2.7142607825641565,2.212122427165928,0.8821920278963507,False,True
0.8,0.7687199890245575,28016,63,2.7843435553826095,2.2801617377554866,0.8715376927470018,False,True
0.7,0.6787213609548635,24736,56,2.7956903245754763,2.2820063322491766,0.8667529107373868,False,True
