support_group,reliability_state,nominal,n,n_environments,adaptive_coverage,adaptive_mean_interval_width,rmse,mae
WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,0.8,36445,77,0.7754424475236658,6.703775512941015,2.686459615278823,2.183090653087729
WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,0.9,36445,77,0.8858005213335163,8.503221457435409,2.686459615278823,2.183090653087729
WITHIN_TRAINING_NN_ENVELOPE,RETAIN_SUPPORTED,0.95,36445,77,0.9447112086705995,10.108206250735847,2.686459615278823,2.183090653087729
