logical_name,relative_path,resolved_url,sha256,size_bytes,outcome_file,accessed_pre_seal
field_metadata,z._2023_supplemental_info/g2f_2023_field_metadata.csv,irods://data.cyverse.org:1247/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_data_2023/z._2023_supplemental_info/g2f_2023_field_metadata.csv,bf99aa64577b2b7708a0fbc0bbdbc683a723cd2634ac50576e04ce1380898c95,15123,False,True
agronomic_information,z._2023_supplemental_info/g2f_2023_agronomic_information.csv,irods://data.cyverse.org:1247/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_data_2023/z._2023_supplemental_info/g2f_2023_agronomic_information.csv,c098f3ffd244fbf4092839d294eb51a56d94acdb581acad432d2b9f5a4d1b57e,10263,False,True
weather_cleaned,b._2023_weather_data/g2f_2023_weather_cleaned.csv,irods://data.cyverse.org:1247/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_data_2023/b._2023_weather_data/g2f_2023_weather_cleaned.csv,d5c4e20f67c67dadfbe6714895759c1f6bdc93042d5a0ee37f7772f7c7f3537b,19727707,False,True
soil,c._2023_soil_data/g2f_2023_soil_data.csv,irods://data.cyverse.org:1247/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_data_2023/c._2023_soil_data/g2f_2023_soil_data.csv,86a2facc43703383dc8f3deeaa32439355d3e5b00cae61e0f8c087f6c8dc5e4e,3511,False,True
