scope,nominal_coverage,empirical_coverage,mean_interval_width,median_interval_width,n
pooled,0.8,0.7929824561403509,0.5370475423829316,0.6537589290078036,285
pooled,0.9,0.9122807017543859,1.5961734269072954,1.6859478198873514,285
pooled,0.95,0.9578947368421052,3.4555540846327846,3.633412920822396,285
protocol_A,0.8,0.7969924812030075,0.3679065064637164,0.3282618036463294,133
protocol_A,0.9,0.9172932330827067,1.3673140997686926,1.3720373362456657,133
protocol_A,0.95,0.9548872180451128,2.894836113041434,2.5893070321068024,133
protocol_B,0.8,0.7894736842105263,0.685045948812245,0.6999204125109372,152
protocol_B,0.9,0.9078947368421053,1.7964253381535729,1.834554747112711,152
protocol_B,0.95,0.9605263157894737,3.946182309775217,4.027004932387467,152
