rule,nominal,n,n_environments,empirical_coverage,environment_balanced_coverage,cluster_ci_low,cluster_ci_high,absolute_coverage_gap,mean_half_width,mean_interval_score,calibration_pass
FROZEN_B11_90,0.9,779,19,0.9139922978177151,0.8997721030003023,0.8784860752085061,0.9441202835715959,0.01399229781771505,4.351707411572972,10.530072493745173,True
ONE_SIDED_CLUSTER_DRIFT_GUARD_90,0.9,779,19,0.9576379974326059,0.9521031534328204,0.9316040863734756,0.9786058430589681,0.05763799743260589,5.141229360485013,11.10625188277593,False
