environment,test_year,train_year_max,n_train_environments,n_test_environments,t1_rmse,t1_mae,t1_full_nearest_z,t1_full_mean5_z,t1_full_nearest_percentile,t1_full_max_training_kernel_similarity,t1_full_local_kernel_density5,t1_full_kernel_mass,t1_full_kernel_projection_support,t1_full_kernel_projection_residual,t1_weather_nearest_z,t1_weather_mean5_z,t1_weather_nearest_percentile,t1_weather_max_training_kernel_similarity,t1_weather_local_kernel_density5,t1_weather_kernel_projection_support,t1_weather_kernel_projection_residual,t1_nearest_training_location_km,t1_city_seen_previously,t1_coordinate_seen_previously,t1_soil_mukey_seen_previously,t2_rmse,t2_mae,t2_full_nearest_z,t2_full_mean5_z,t2_full_nearest_percentile,t2_full_max_training_kernel_similarity,t2_full_local_kernel_density5,t2_full_kernel_mass,t2_full_kernel_projection_support,t2_full_kernel_projection_residual,t2_weather_nearest_z,t2_weather_mean5_z,t2_weather_nearest_percentile,t2_weather_max_training_kernel_similarity,t2_weather_local_kernel_density5,t2_weather_kernel_projection_support,t2_weather_kernel_projection_residual,t2_nearest_training_location_km,t2_city_seen_previously,t2_coordinate_seen_previously,t2_soil_mukey_seen_previously,rmse_t2_minus_t1,mae_t2_minus_t1,delta_full_nearest_z_t2_minus_t1,delta_full_mean5_z_t2_minus_t1,delta_full_nearest_percentile_t2_minus_t1,delta_full_max_training_kernel_similarity_t2_minus_t1,delta_full_local_kernel_density5_t2_minus_t1,delta_full_kernel_mass_t2_minus_t1,delta_full_kernel_projection_support_t2_minus_t1,delta_full_kernel_projection_residual_t2_minus_t1,delta_weather_nearest_z_t2_minus_t1,delta_weather_mean5_z_t2_minus_t1,delta_weather_nearest_percentile_t2_minus_t1,delta_weather_max_training_kernel_similarity_t2_minus_t1,delta_weather_local_kernel_density5_t2_minus_t1,delta_weather_kernel_projection_support_t2_minus_t1,delta_weather_kernel_projection_residual_t2_minus_t1,t2_worse_than_t1,t2_extreme_support_percentile
2016-DEH1,2016,2015,23,18,2.487096116204583,2.1483890282680207,4.905443948527416,5.389662817047904,0.34782608695652173,0.4255703636245863,0.35954911857039373,4.6600198622336135,0.2934909391810837,0.7065090608189163,1.626624074058469,2.559189108726668,0.5652173913043478,0.6377438069323762,0.3548031888144815,0.29045702013377195,0.709542979866228,464.3614838106569,False,False,False,4.424450819522547,4.027424733786286,4.5251256859933,4.934763768998432,0.34782608695652173,0.49015823078021786,0.42886980742788217,6.104758310938606,0.4253356017433369,0.574664398256663,1.7660701325373447,1.977600579291694,0.6956521739130435,0.6001487443195918,0.5275555176717107,0.389908225636626,0.610091774363374,464.3614838106569,False,False,False,1.9373547033179639,1.8790357055182652,-0.38031826253411616,-0.4548990480494721,0.0,0.06458786715563158,0.06932068885748843,1.4447384487049924,0.1318446625622532,-0.13184466256225325,0.1394460584788757,-0.5815885294349741,0.13043478260869568,-0.03759506261278445,0.17275232885722924,0.09945120550285408,-0.09945120550285402,True,False
2016-GAH2,2016,2015,23,18,2.3558648489207408,2.01488087958896,7.226266899390857,8.221941266136385,0.9565217391304348,0.15661967976632502,0.09545229373840074,1.1321422495205444,0.042685810410360514,0.9573141895896395,3.654783563191084,5.944118733912165,0.9130434782608695,0.1032255202876023,0.02174523250413276,0.008873757842263106,0.9911262421577369,683.2567517643987,False,False,False,6.979536857316707,6.842824932173168,7.495909757966775,8.558129495779179,0.9565217391304348,0.14134366591639566,0.08185075117201542,0.9347814057580056,0.03158459020760038,0.9684154097923996,4.162592064101562,6.3395373099773575,1.0,0.05863399613387574,0.012086314276841151,0.002501825880517605,0.9974981741194824,683.2567517643987,False,False,False,4.623672008395966,4.827944052584208,0.2696428585759181,0.3361882296427936,0.0,-0.015276013849929354,-0.013601542566385322,-0.19736084376253882,-0.011101220202760137,0.011101220202760054,0.5078085009104782,0.39541857606519226,0.08695652173913049,-0.04459152415372657,-0.009658918227291608,-0.006371931961745501,0.006371931961745458,True,True
2016-IAH2,2016,2015,23,18,2.415904786692852,1.8914604656327625,4.40287095844636,4.756375265614237,0.2608695652173913,0.5024608361726541,0.44833650110836254,5.854302036316008,0.44930705114553704,0.550692948854463,2.157869435778358,2.4674723271384407,0.782608695652174,0.4531129539538337,0.3591356036562507,0.29720240336730347,0.7027975966326965,85.5234786085574,False,False,False,6.876619167535101,6.436402515812866,4.380398971639536,4.966534787815665,0.34782608695652173,0.5126576457290749,0.42655035441699746,6.458541959536355,0.4970688005585869,0.5029311994414132,1.799707048970524,2.078187710145488,0.7391304347826086,0.588480145643544,0.49419213733268597,0.41714387029143796,0.582856129708562,85.5234786085574,False,False,False,4.46071438084225,4.544942050180104,-0.022471986806823274,0.21015952220142875,0.08695652173913043,0.010196809556420772,-0.021786146691365083,0.604239923220347,0.04776174941304984,-0.04776174941304978,-0.3581623868078341,-0.3892846169929527,-0.0434782608695653,0.1353671916897103,0.13505653367643528,0.11994146692413449,-0.11994146692413443,True,False
2016-IAH3,2016,2015,23,18,2.0868705145352187,1.754815445181764,4.396874255126033,5.108353265502227,0.2608695652173913,0.5034030689999623,0.3982066212445717,5.282261639763468,0.37588881363684085,0.6241111863631592,2.0929169771982203,2.759360050071263,0.782608695652174,0.47488838748521817,0.2859662046759915,0.20437007433706172,0.7956299256629382,118.68307912211218,False,False,False,4.808436064532111,4.574260027949627,4.333217720693397,5.007548183184513,0.34782608695652173,0.5200494823665565,0.42063589299267024,6.352984214170244,0.48816693475541734,0.5118330652445826,1.7468959823828774,2.189149484403907,0.6956521739130435,0.6068028783282315,0.4603708309746185,0.41431645102899545,0.5856835489710046,118.68307912211218,False,False,False,2.721565549996892,2.819444582767863,-0.06365653443263586,-0.10080508231771379,0.08695652173913043,0.016646413366594115,0.022429271748098556,1.0707225744067763,0.11227812111857649,-0.1122781211185766,-0.346020994815343,-0.570210565667356,-0.08695652173913049,0.13191449084301338,0.17440462629862702,0.20994637669193372,-0.2099463766919336,True,False
2016-IAH4,2016,2015,23,18,1.3353149045682235,1.063421851586958,4.3193597144235465,4.747663212905579,0.2608695652173913,0.515624260204329,0.44991347257828185,6.026429136444727,0.4629814735127832,0.5370185264872168,2.0045988828492054,2.3736290946384315,0.7391304347826086,0.5050221142201162,0.392046185108327,0.3373077046810752,0.6626922953189248,0.3251434197681342,True,False,False,6.494945036663629,6.37086870117328,4.36194470832027,4.931982931582697,0.34782608695652173,0.5155457787492691,0.43115709744313707,6.621587903804076,0.5184171529518968,0.48158284704810317,1.5824397376444204,2.085315307808588,0.6956521739130435,0.6637025652907386,0.4925124264110375,0.44898184866886254,0.5510181513311374,0.3251434197681342,True,False,False,5.159630132095406,5.307446849586322,0.042584993896723766,0.18431971867711816,0.08695652173913043,-7.84814550599533e-05,-0.018756375135144776,0.595158767359349,0.05543567943911365,-0.05543567943911365,-0.42215914520478504,-0.28831378682984354,-0.04347826086956519,0.15868045107062234,0.10046624130271048,0.11167414398778736,-0.11167414398778741,True,False
2016-ILH1,2016,2015,23,18,1.7970024624022063,1.361178990649999,4.145157326086059,4.465099046917881,0.2608695652173913,0.5433366199804074,0.49307056746924094,6.650101044259324,0.5311292025493021,0.46887079745069793,1.6312608892023501,2.006707528118008,0.5652173913043478,0.6361080932654387,0.5063065955880822,0.43390168222785813,0.5660983177721419,0.07325669353970893,True,False,False,8.738424863102857,8.550319601623022,4.076420534909388,4.578207476206556,0.34782608695652173,0.5606646757455204,0.4829599467684793,7.372701013848202,0.5895266628699036,0.41047333713009637,1.3035787982072615,1.5702961528732957,0.34782608695652173,0.7571631077388756,0.6672141137401187,0.6814307702891308,0.3185692297108692,0.07325669353970893,True,False,False,6.941422400700651,7.1891406109730225,-0.0687367911766712,0.11310842928867526,0.08695652173913043,0.017328055765112982,-0.01011062070076163,0.7225999695888783,0.05839746032060156,-0.05839746032060156,-0.3276820909950886,-0.4364113752447123,-0.21739130434782605,0.12105501447343692,0.16090751815203652,0.24752908806127266,-0.24752908806127272,True,False
2016-INH1,2016,2015,23,18,1.921500509306196,1.4512760552752209,2.8767616903123767,6.245128140052368,0.2608695652173913,0.7454142401667458,0.2841906990084125,3.33078862727741,0.37838735655382894,0.6216126434461711,1.92530210491049,2.2724289363841423,0.6956521739130435,0.5324988750300024,0.41951541724735025,0.2773689696044405,0.7226310303955594,0.9248226868419736,True,False,True,1.7969336493485215,1.3746341761316367,3.52616716214331,6.227906533238693,0.2608695652173913,0.6485846801674039,0.28262165244360504,3.655723148376702,0.3560083476853291,0.6439916523146709,1.1094667607411193,1.744519002134382,0.30434782608695654,0.8175037552620119,0.6058210875076451,0.7295392112526169,0.2704607887473831,0.9248226868419736,True,False,True,-0.12456685995767458,-0.07664187914358411,0.6494054718309332,-0.017221606813675017,0.0,-0.09682955999934195,-0.0015690465648074414,0.324934521099292,-0.02237900886849986,0.02237900886849986,-0.8158353441693706,-0.5279099342497604,-0.3913043478260869,0.28500488023200954,0.18630567026029482,0.4521702416481764,-0.4521702416481763,False,False
2016-MIH1,2016,2015,23,18,2.6841702525287454,2.0831129973556965,5.198618174589792,5.659851585818842,0.34782608695652173,0.38308663916652924,0.3216633890198985,5.376518485519039,0.37865895866802135,0.6213410413319786,2.2744979891701163,2.7435095673923704,0.782608695652174,0.41499176627259876,0.28490814979188245,0.12465007179920012,0.8753499282007999,321.6086944381472,False,False,False,5.2566434619555205,4.864418669862404,5.307393830518121,5.78895799814549,0.34782608695652173,0.3749882147194497,0.3124002616389877,5.022741193502253,0.3651757840815505,0.6348242159184495,2.3509061544902243,2.7080563932287283,0.8260869565217391,0.40465316144999297,0.30372966706262944,0.22251004646856296,0.777489953531437,321.6086944381472,False,False,False,2.572473209426775,2.781305672506708,0.10877565592832905,0.12910641232664766,0.0,-0.008098424447079533,-0.009263127380910785,-0.35377729201678587,-0.013483174586470859,0.013483174586470859,0.07640816532010808,-0.03545317416364213,0.04347826086956519,-0.01033860482260579,0.01882151727074699,0.09785997466936283,-0.09785997466936291,True,False
2016-MNH1,2016,2015,23,18,2.671522298627082,2.249184914827922,4.336872625613116,4.806241312968468,0.2608695652173913,0.5128565611065667,0.4411724764915029,7.4164545957599195,0.6240055080421366,0.3759944919578634,1.1514921179689348,1.3964071089604286,0.391304347826087,0.7981840014480373,0.7170359147291836,0.7852813623648955,0.21471863763510446,0.3341686654859186,True,False,False,10.947728474487588,10.842849626360756,4.366754716359112,4.965322350633095,0.34782608695652173,0.5147926142416428,0.4249489486429793,7.214557097321621,0.5919843584636739,0.4080156415363261,1.5122022060730194,1.704099892099735,0.6521739130434783,0.687743341964946,0.6215567141546832,0.6541845304369386,0.3458154695630614,0.3341686654859186,True,False,False,8.276206175860507,8.593664711532835,0.029882090745996237,0.15908103766462656,0.08695652173913043,0.0019360531350760546,-0.0162235278485236,-0.2018974984382984,-0.03202114957846269,0.03202114957846269,0.36071008810408456,0.30769278313930637,0.2608695652173913,-0.11044065948309123,-0.09547920057450043,-0.13109683192795696,0.13109683192795696,True,False
2016-NEH1,2016,2015,23,18,4.343605149525865,4.008015502046979,4.05692555818268,4.551622945793498,0.2608695652173913,0.557477475983933,0.48036493459605245,7.402949851497628,0.6127566435159055,0.38724335648409447,1.2586239667380679,1.443362360200775,0.391304347826087,0.7639051929702589,0.7009897115926135,0.5855477826563003,0.41445221734369975,41.78080407189849,False,False,False,10.817742556171568,10.683367819156704,4.3541061165564985,4.83402795543,0.34782608695652173,0.516773745015873,0.44411283922250366,6.89162479720061,0.5698514687246251,0.4301485312753749,1.0160978609020515,1.6718625672216276,0.30434782608695654,0.8444989256911056,0.6299934173352828,0.65730156328016,0.34269843671984,41.78080407189849,False,False,False,6.474137406645704,6.675352317109724,0.2971805583738183,0.28240500963650206,0.08695652173913043,-0.040703730968060015,-0.03625209537354879,-0.5113250542970187,-0.04290517479128042,0.04290517479128042,-0.24252610583601641,0.2285002070208526,-0.08695652173913043,0.08059373272084669,-0.07099629425733067,0.07175378062385973,-0.07175378062385973,True,False
