model,n,n_environments,n_test_years,rmse,mae,r2,correlation
Frozen-T1,44316,113,6,2.6614189872403107,2.1509721683007843,0.05954058971474341,0.3405169104467061
Frozen-T2,44316,113,6,3.2843411041341266,2.4859247249675005,-0.4322210938991151,0.19765056670927597
T2-Mean12,44316,113,6,2.5891634201569875,2.089945547115972,0.10991295539418877,0.38383696633259257
T2-Median12,44316,113,6,2.576502211235944,2.0839421460858847,0.11859685953793553,0.3977812503706677
