target,n_predictions,n_folds,rmse,mae,r2,rho,mean_h2,h2_sd,boundary_folds,mean_fold_rmse,sd_fold_rmse
shoots 15d protocol a,133,5,0.7041516424810446,0.2975963399740836,-0.007710174324312646,0.06834283363486932,0.9999938557917277,5.108262455484698e-13,5,0.5862309607718543,0.3479365008158277
shoots 15d protocol b,152,5,0.8916576216129407,0.47988896274450626,0.02239260544686894,0.16294891492855174,0.9999938557921231,1.2248333423207572e-12,5,0.8633290291241178,0.1246657368769126
shoots 21d protocol a,133,5,1.9378806438502436,0.9099559985398117,-0.013752157529136388,0.020206228127597158,0.6375135677361328,0.5007573498586859,4,1.7171815447438032,1.0204652555343525
shoots 21d protocol b,152,5,2.0364852963262803,1.0829091546564473,0.019158985025376163,0.15909730623604929,0.9999938557908881,9.58479411864963e-13,5,1.9735595926389167,0.3976635583060909
