regime,model,n_environments,spearman_mean5_novelty_vs_rmse,spearman_mean5_pvalue,spearman_nearest_novelty_vs_rmse,spearman_nearest_pvalue,low_novelty_quartile_mean_rmse,high_novelty_quartile_mean_rmse,high_minus_low_quartile_rmse
CV-E-continuous-B6R,B6-fixed-G+E,136,,,,,,,
CV-E-continuous-B6R,Selected-G,136,0.11226086541672631,0.19318704669993503,0.17044511235150991,0.04726596030156558,2.443102020702965,2.6254028998750947,0.1823008791721299
CV-E-continuous-B6R,Selected-G+E,136,0.14854730213253184,0.08435757478669335,0.18999093554696816,0.026730954373164355,2.423372525945906,2.8064342264169406,0.3830617004710346
CV-E-continuous-B6R,Selected-G+E+GxE,136,0.15227326940508562,0.07677037471310277,0.1973617670912647,0.021274861438437376,2.3594852239910513,2.7069589817906174,0.34747375779956613
CV-GE-continuous-B6R,B6-fixed-G+E,136,,,,,,,
CV-GE-continuous-B6R,Selected-G,136,0.11045274557511567,0.20050274822255423,0.169362148752445,0.04871037581928155,2.453921947482904,2.631397016475611,0.17747506899270693
CV-GE-continuous-B6R,Selected-G+E,136,0.14399599255760698,0.09442667254768712,0.18657506798339774,0.029639735609400055,2.4326962976979307,2.808803922719367,0.37610762502143613
CV-GE-continuous-B6R,Selected-G+E+GxE,136,0.14929631219884545,0.08278602451367531,0.19135537426649493,0.025639152575402044,2.373416670481729,2.708856089043376,0.33543941856164716
