regime,removed_fraction_target,retained_n,retained_fraction,rmse,mae
CV-G,0.0,2396,1.0,0.8901094388292136,0.6885600820927708
CV-G,0.05,2276,0.9499165275459098,0.8845551771819479,0.6840409563931277
CV-G,0.1,2156,0.8998330550918197,0.8769968489399431,0.6794434255752249
CV-G,0.2,1915,0.7992487479131887,0.8606888519279217,0.6698610206815712
CV2,0.0,599,1.0,0.8469263874382605,0.6536203707042904
CV2,0.05,569,0.9499165275459098,0.8463045349374494,0.6519797201917906
CV2,0.1,539,0.8998330550918197,0.8450548292325557,0.6474855063397275
CV2,0.2,479,0.7996661101836394,0.822708384932748,0.6476196122263069
