model,worst_year_rmse,best_year_rmse,year_rmse_range,year_rmse_sd,worst_year,years_beating_frozen_t1,max_year_deterioration_vs_frozen_t1
Frozen-T1,2.9195123659302205,2.262105036655891,0.6574073292743297,0.2324988088666105,2019,,
Frozen-T2,6.64859641978489,2.4619149097856288,4.186681509999261,1.6362928679487254,2016,,
T2-Mean12,2.9199526251410037,2.445134688762793,0.4748179363782108,0.17643726979526014,2016,3.0,0.19243081142809348
T2-Median12,2.6953413019714496,2.474564195494975,0.22077710647647475,0.09735579254608076,2019,4.0,0.4332137159920224
