regime,environment,test_year,model,n,rmse,mae,r2,correlation
CV-E-B10,2017-TXH1-Late,2017,G,133,3.282132354364765,3.0693309572358785,-9.912367017304039,0.04955786535298333
CV-E-B10,2017-TXH1-Late,2017,G+E_T0,133,2.3346039996027668,2.096040378935804,-4.5211968820795985,-0.004493405259830746
CV-E-B10,2017-TXH1-Late,2017,G+E_T1,133,2.207084196763455,1.9645141543163327,-3.9345162770309106,-0.017075366963217604
CV-E-B10,2017-TXH1-Late,2017,G+E_T2,133,2.346929290679994,2.1084965988312456,-4.57964790071734,-0.0248437408987911
CV-E-B10,2017-TXH2,2017,G,131,1.9089809782710236,1.561709384539138,-0.03282127095564413,0.1687411372673778
CV-E-B10,2017-TXH2,2017,G+E_T0,131,2.0417741625642813,1.5943802900916066,-0.18150993889402,0.12904668956022203
CV-E-B10,2017-TXH2,2017,G+E_T1,131,2.0184690255566196,1.576377053866403,-0.1546919826055051,0.13810171185490774
CV-E-B10,2017-TXH2,2017,G+E_T2,131,1.9871568245826536,1.5556605579632596,-0.11914473751071242,0.10835171976788396
CV-E-B10,2017-WIH1,2017,G,274,3.7786257272723307,3.3501303782952085,-2.1218116783772247,0.18445708777299766
CV-E-B10,2017-WIH1,2017,G+E_T0,274,3.7161361740458303,3.3038090107798013,-2.0194106762866766,0.261518625632679
CV-E-B10,2017-WIH1,2017,G+E_T1,274,3.6961668875783396,3.280802032083521,-1.9870472375059074,0.24785669142207073
CV-E-B10,2017-WIH1,2017,G+E_T2,274,3.6680735964512903,3.252587963775157,-1.9418127651780845,0.24467834743583786
CV-E-B10,2017-WIH2,2017,G,278,2.99399373750215,2.606258537584376,-2.1860130250307623,0.2545100986799624
CV-E-B10,2017-WIH2,2017,G+E_T0,278,1.9353456141326955,1.5944859126892708,-0.3312598586903115,0.30772334706958276
CV-E-B10,2017-WIH2,2017,G+E_T1,278,2.038442941806634,1.687804697047236,-0.4768721161189218,0.28164493990356954
CV-E-B10,2017-WIH2,2017,G+E_T2,278,1.9552240961002942,1.612987397296611,-0.3587477983754994,0.29369140667509336
CV-E-B10,2018-ARH2,2018,G,429,4.485384321573613,4.411351671271558,-46.57595302556928,-0.172967369448616
CV-E-B10,2018-ARH2,2018,G+E_T0,429,4.679724109232378,4.616207993633431,-50.78794472468817,-0.1291617512069977
CV-E-B10,2018-ARH2,2018,G+E_T1,429,4.164061768517604,4.090622796842713,-40.00364846402295,-0.13664984927379864
CV-E-B10,2018-ARH2,2018,G+E_T2,429,4.190988789716516,4.117778445143133,-40.53566553746382,-0.14009006698386384
CV-E-B10,2018-DEH1,2018,G,595,3.551835614125886,2.929421252717917,-2.1189965617622133,-0.12149618338887534
CV-E-B10,2018-DEH1,2018,G+E_T0,595,3.4274374118064173,2.7943324469370565,-1.9043452863450692,-0.10701390995487575
CV-E-B10,2018-DEH1,2018,G+E_T1,595,3.366729331208126,2.7472541384226012,-1.8023707160235363,-0.032035083127199396
CV-E-B10,2018-DEH1,2018,G+E_T2,595,3.372182614673863,2.738222472800894,-1.8114563876341898,-0.0852340203261931
CV-E-B10,2018-IAH2,2018,G,434,2.7792752914005567,2.4100818480366084,-1.6068595844231504,0.23786056314968715
CV-E-B10,2018-IAH2,2018,G+E_T0,434,2.6671489823902466,2.295438205696352,-1.4007617150839016,0.2307530883333023
CV-E-B10,2018-IAH2,2018,G+E_T1,434,2.810167455103667,2.4384050881543278,-1.6651331169481836,0.24122985746393857
CV-E-B10,2018-IAH2,2018,G+E_T2,434,2.8949962887453373,2.52278872029253,-1.8284631746350746,0.2474867491605468
CV-E-B10,2018-IAH4,2018,G,804,1.9239867121507443,1.6096785019758177,-1.2306185659801159,0.10415262739463942
CV-E-B10,2018-IAH4,2018,G+E_T0,804,2.0317360485819247,1.725330666480701,-1.48745795402807,0.08203655270134758
CV-E-B10,2018-IAH4,2018,G+E_T1,804,2.2269345231229463,1.9298417324666133,-1.9883817258485084,0.08847475614253635
CV-E-B10,2018-IAH4,2018,G+E_T2,804,2.2579425550244676,1.964310581646237,-2.0721820932281303,0.09570559248897213
CV-E-B10,2018-ILH1,2018,G,394,2.7218309586088982,2.3888771439997383,-2.0025799704322735,0.1272300258976574
CV-E-B10,2018-ILH1,2018,G+E_T0,394,2.3260389958624206,1.9649967605769072,-1.1928365778682264,0.06781568195992277
CV-E-B10,2018-ILH1,2018,G+E_T1,394,2.413179348674825,2.058889783392778,-1.3602145554636809,0.08907185635531323
CV-E-B10,2018-ILH1,2018,G+E_T2,394,2.448978064615364,2.098516629019625,-1.4307599632976884,0.09815026127024945
CV-E-B10,2018-INH1,2018,G,407,2.3895565794796787,2.0638522300641484,-2.1955450081858823,0.026444542135672877
CV-E-B10,2018-INH1,2018,G+E_T0,407,1.4077941193009387,1.1245054353930324,-0.10914569019981557,0.049253445648404205
CV-E-B10,2018-INH1,2018,G+E_T1,407,1.4031292685277064,1.1281205609802396,-0.10180736308642557,0.03522204266762621
CV-E-B10,2018-INH1,2018,G+E_T2,407,1.4149496409972824,1.1357485915861163,-0.12044945367383297,0.03572443960310708
CV-E-B10,2018-MIH1,2018,G,375,1.453651707361102,1.1180251323333223,-0.25530510460315226,-0.16887067177976153
CV-E-B10,2018-MIH1,2018,G+E_T0,375,1.7336265347948336,1.392510295960471,-0.7854169798046726,-0.11029476519279781
CV-E-B10,2018-MIH1,2018,G+E_T1,375,1.5913305463072582,1.2488446873940973,-0.5043516547756384,-0.10482361932421921
CV-E-B10,2018-MIH1,2018,G+E_T2,375,1.83979171437917,1.5050689695936739,-1.010786157000434,-0.104362771980278
CV-E-B10,2018-MNH1,2018,G,916,2.615751191689588,2.087417297640936,-1.38312171740017,-0.14802897930217676
CV-E-B10,2018-MNH1,2018,G+E_T0,916,3.2920548256923885,2.788432157638812,-2.774743790243468,-0.1658673062931808
CV-E-B10,2018-MNH1,2018,G+E_T1,916,2.8480949310767643,2.3381095315152414,-1.825285121701865,-0.09773524623706112
CV-E-B10,2018-MNH1,2018,G+E_T2,916,3.0478601140335204,2.5342519154859433,-2.235515031541826,-0.14310783197425697
CV-E-B10,2018-MOH1,2018,G,790,2.5028537783764335,2.18926055726907,-2.816730061418026,0.13054956630412465
CV-E-B10,2018-MOH1,2018,G+E_T0,790,2.0150365778586217,1.682420119237369,-1.4739240217691996,0.12807515105261358
CV-E-B10,2018-MOH1,2018,G+E_T1,790,1.6073079591563695,1.2958205793105162,-0.5740505666740907,0.12344262231749042
CV-E-B10,2018-MOH1,2018,G+E_T2,790,1.5524284063633165,1.2443529664289603,-0.46839755003047023,0.1242794635391543
CV-E-B10,2018-NCH1,2018,G,639,2.677601012563545,2.1788062061263447,-0.5479223733909075,-0.34145875748725174
CV-E-B10,2018-NCH1,2018,G+E_T0,639,3.033006651628667,2.505823631519781,-0.9861140142232812,-0.03279736513631306
CV-E-B10,2018-NCH1,2018,G+E_T1,639,2.7732320582878165,2.273671067687992,-0.6604655676370426,0.0012252258129937456
CV-E-B10,2018-NCH1,2018,G+E_T2,639,2.975671319339647,2.4547425088322683,-0.9117335793434058,-0.03568558338698814
CV-E-B10,2018-NYH1,2018,G,373,2.5648709107047893,2.0670584967460406,-1.026235619383121,0.2287780842793858
CV-E-B10,2018-NYH1,2018,G+E_T0,373,2.441573067116422,1.9244562376941998,-0.8361086334981751,0.20251598576762123
CV-E-B10,2018-NYH1,2018,G+E_T1,373,2.3785541811955713,1.8644367745270893,-0.742549078782393,0.2120784275088164
CV-E-B10,2018-NYH1,2018,G+E_T2,373,2.0599133122068882,1.5860288657849404,-0.306943490301975,0.21884762597883783
CV-E-B10,2018-NYH2,2018,G,395,2.0420774577205894,1.641450973744499,-0.15348852214507613,0.07451213713419101
CV-E-B10,2018-NYH2,2018,G+E_T0,395,1.9751073028247284,1.5848117164164273,-0.07907155526346066,0.13383569728839217
CV-E-B10,2018-NYH2,2018,G+E_T1,395,1.884146498780523,1.484958725721106,0.018030067125684113,0.14069438812990628
CV-E-B10,2018-NYH2,2018,G+E_T2,395,1.906202081276979,1.4932391929072155,-0.0050941233955568155,0.1324752114181589
CV-E-B10,2018-NYH3,2018,G,416,1.590060768685563,1.235964255840114,0.02243429915701589,0.1756053115936803
CV-E-B10,2018-NYH3,2018,G+E_T0,416,3.2282920317853736,2.875046915005458,-3.0296204220950163,0.20216581343314305
CV-E-B10,2018-NYH3,2018,G+E_T1,416,3.2876035832031225,2.9377952046825198,-3.1790483977057935,0.20164688610577858
CV-E-B10,2018-NYH3,2018,G+E_T2,416,2.498749009484879,2.113209223326119,-1.4141473848392088,0.19649570731407925
CV-E-B10,2018-OHH1,2018,G,380,1.7399879754970782,1.4129288941429057,-0.5268982214875395,-0.03298797871637164
CV-E-B10,2018-OHH1,2018,G+E_T0,380,1.9352423264023308,1.5264000056880909,-0.8888101303052007,-0.053448349858948724
CV-E-B10,2018-OHH1,2018,G+E_T1,380,1.494488403483997,1.1683848022433954,-0.1264260723623083,-0.03697090093749825
CV-E-B10,2018-OHH1,2018,G+E_T2,380,1.667782939480053,1.2883921538745116,-0.40280288068606884,-0.03537985465382218
CV-E-B10,2018-SCH1,2018,G,378,3.300590916483889,3.0127698685133564,-5.034031856915582,0.017290912155346873
CV-E-B10,2018-SCH1,2018,G+E_T0,378,1.677551712204301,1.3590604911151973,-0.558748439480975,0.09913993757455648
CV-E-B10,2018-SCH1,2018,G+E_T1,378,1.538726773323132,1.2208913533080679,-0.311436356633795,0.09181504292164343
CV-E-B10,2018-SCH1,2018,G+E_T2,378,1.4926587729852527,1.1764044383379686,-0.23408556987675921,0.09242879178509007
CV-E-B10,2018-TXH1-Dry,2018,G,369,2.2261478570617093,1.8870564204032203,-1.966634275680303,0.1343557235705558
CV-E-B10,2018-TXH1-Dry,2018,G+E_T0,369,2.4945260069633535,2.175762205955057,-2.7250496882138417,0.13806685523355414
CV-E-B10,2018-TXH1-Dry,2018,G+E_T1,369,1.9923373587211364,1.6439927374637209,-1.37619323512746,0.1339691795205573
CV-E-B10,2018-TXH1-Dry,2018,G+E_T2,369,1.9818771844574297,1.6346005714791094,-1.351307743433185,0.13963157782637925
CV-E-B10,2018-TXH1-Early,2018,G,404,1.3322407141656278,1.0361419670289647,-0.20047878144783593,0.018775019312410043
CV-E-B10,2018-TXH1-Early,2018,G+E_T0,404,1.298414113517263,0.9860853318697839,-0.14029058799692673,0.03197800553182818
CV-E-B10,2018-TXH1-Early,2018,G+E_T1,404,1.355730664713787,1.0358657026261635,-0.2431854630502972,0.02407440059895287
CV-E-B10,2018-TXH1-Early,2018,G+E_T2,404,1.3601355037222482,1.0418196677023759,-0.25127693419627106,0.02582260276783208
CV-E-B10,2018-TXH1-Late,2018,G,434,3.20581567981044,2.987076960915814,-6.748658083454908,0.09191732332247562
CV-E-B10,2018-TXH1-Late,2018,G+E_T0,434,2.3867617850565566,2.1235839051723637,-3.295043349810979,0.11227107884434737
CV-E-B10,2018-TXH1-Late,2018,G+E_T1,434,2.3768889841062633,2.1134268719339118,-3.259584087489965,0.11395751458350487
CV-E-B10,2018-TXH1-Late,2018,G+E_T2,434,2.2131179736972744,1.9446022228265019,-2.6928233293534967,0.11834148114454428
CV-E-B10,2018-TXH2,2018,G,443,1.9770869797015043,1.5795971438876852,-0.6285907573767908,0.02340649317983522
CV-E-B10,2018-TXH2,2018,G+E_T0,443,1.687738699207547,1.3207935614676791,-0.186781673155201,0.04258935799404751
CV-E-B10,2018-TXH2,2018,G+E_T1,443,1.678287183492622,1.3144180551309348,-0.17352668556184447,0.042614387531049146
CV-E-B10,2018-TXH2,2018,G+E_T2,443,1.6466408575750935,1.2884025999067665,-0.12968714836335926,0.04269066538564463
CV-E-B10,2018-WIH1,2018,G,401,2.262754821752286,1.8262316653214823,-0.5740552166612614,-0.050016382916531994
CV-E-B10,2018-WIH1,2018,G+E_T0,401,1.8754336202491815,1.4714419016892926,-0.08130536890560114,-0.06869969823677845
CV-E-B10,2018-WIH1,2018,G+E_T1,401,1.8864295479649704,1.4977400012373585,-0.09402222731843723,-0.05433987311519083
CV-E-B10,2018-WIH1,2018,G+E_T2,401,1.8807153219868085,1.4931870744341882,-0.08740441116489839,-0.05118070035508708
CV-E-B10,2018-WIH2,2018,G,815,2.5323179126471276,1.9712408280479314,-0.9169502082905667,-0.1058633290304071
CV-E-B10,2018-WIH2,2018,G+E_T0,815,3.430490660506358,2.965339718847206,-2.5179273059404967,0.01996621815196976
CV-E-B10,2018-WIH2,2018,G+E_T1,815,2.948055915938471,2.4403391462088244,-1.5980398697339027,0.026616713634879514
CV-E-B10,2018-WIH2,2018,G+E_T2,815,3.2595139645093503,2.777647198312927,-2.17599690398679,0.012097067241559314
CV-E-B10,2019-DEH1,2019,G,814,2.538944934440164,2.1028457608349282,-0.8400061746629202,-0.002269192899342152
CV-E-B10,2019-DEH1,2019,G+E_T0,814,2.7751725739681645,2.334131811810811,-1.1983290881013815,0.06738447531336393
CV-E-B10,2019-DEH1,2019,G+E_T1,814,2.669336913262963,2.2304227919807422,-1.0338527224721825,0.07653224594552044
CV-E-B10,2019-DEH1,2019,G+E_T2,814,2.6967848258609735,2.257233613263645,-1.07589464426378,0.06657013207786804
CV-E-B10,2019-GAH2,2019,G,390,3.3304633265758223,2.987497740946324,-4.229712058605462,-0.06435427196648336
CV-E-B10,2019-GAH2,2019,G+E_T0,390,3.667411254564759,3.361075990889865,-5.341437158299049,-0.10292896772892252
CV-E-B10,2019-GAH2,2019,G+E_T1,390,3.52812385331073,3.211297898434869,-4.868891912244789,-0.10966187544720134
CV-E-B10,2019-GAH2,2019,G+E_T2,390,3.6244305359100486,3.3128233520974844,-5.193669505000852,-0.10973590814106411
CV-E-B10,2019-IAH4,2019,G,1140,2.6028777986193345,2.3104431116090205,-2.984161035353122,-0.004990960239019243
CV-E-B10,2019-IAH4,2019,G+E_T0,1140,2.5579471126058078,2.275733060228692,-2.8477996199625473,0.04692626111058544
CV-E-B10,2019-IAH4,2019,G+E_T1,1140,2.264991407373642,1.9771264048335022,-2.0169106157597962,0.03999020582009003
CV-E-B10,2019-IAH4,2019,G+E_T2,1140,2.2358873324843183,1.9481680070305505,-1.9398769726063554,0.03914072222344761
CV-E-B10,2019-ILH1,2019,G,448,4.60358480149706,4.30420835668444,-6.43336855307889,0.21087310639922105
CV-E-B10,2019-ILH1,2019,G+E_T0,448,4.051370309448354,3.726325471826318,-4.757013567229483,0.23127813735936323
CV-E-B10,2019-ILH1,2019,G+E_T1,448,4.181878862890419,3.862433570111857,-5.133894013947024,0.22715853835735983
CV-E-B10,2019-ILH1,2019,G+E_T2,448,3.960449092446759,3.6295995326789807,-4.5015142392464815,0.22696467298976297
CV-E-B10,2019-INH1,2019,G,440,5.296135169589254,5.059868844717956,-10.602814149363217,0.07604354070695993
CV-E-B10,2019-INH1,2019,G+E_T0,440,4.665167763108495,4.404748672434089,-8.0028444437184,0.11169345832340596
CV-E-B10,2019-INH1,2019,G+E_T1,440,4.387776497440375,4.11018464745815,-6.964054245916028,0.10326624959243383
CV-E-B10,2019-INH1,2019,G+E_T2,440,4.441991731856547,4.1665750673314745,-7.162077347419979,0.09489031771828169
CV-E-B10,2019-MIH1,2019,G,454,1.8559729750299918,1.507736766891235,-0.10201094892597862,0.08412807616779783
CV-E-B10,2019-MIH1,2019,G+E_T0,454,2.137214415002032,1.7591226149397465,-0.46129804285048825,0.08141216828688867
CV-E-B10,2019-MIH1,2019,G+E_T1,454,1.7873313066195364,1.4380369955714587,-0.022004335384367302,0.07355017122286171
CV-E-B10,2019-MIH1,2019,G+E_T2,454,1.9888908304503485,1.623173183732702,-0.26550686134442314,0.07083206344867639
CV-E-B10,2019-MNH1,2019,G,1001,2.1803625725872,1.7849102721961498,-0.4213669262958988,0.12767118751361697
CV-E-B10,2019-MNH1,2019,G+E_T0,1001,2.310874856008339,1.9072461412171238,-0.5966202129651583,-0.06897394100094323
CV-E-B10,2019-MNH1,2019,G+E_T1,1001,2.419869728639776,2.0139709831851227,-0.7507846984576487,-0.05448722068288842
CV-E-B10,2019-MNH1,2019,G+E_T2,1001,2.350760006014083,1.9477530829930798,-0.6522104148747325,-0.03957712245761165
CV-E-B10,2019-MOH1,2019,G,515,2.998256402747295,2.5888197082586024,-1.7227372196250492,-0.10845047837004612
CV-E-B10,2019-MOH1,2019,G+E_T0,515,2.553405972981873,2.1785248800433306,-0.9747309299130249,-0.07775309628684482
CV-E-B10,2019-MOH1,2019,G+E_T1,515,2.0951288919714552,1.7635425937796825,-0.3295040979069146,-0.0894152455378229
CV-E-B10,2019-MOH1,2019,G+E_T2,515,1.9846121400777057,1.6445796586461698,-0.1929424032563003,-0.07801757248664273
CV-E-B10,2019-NEH1,2019,G,308,2.9155145671398834,2.4605787035180713,-0.7879890566252636,0.12093642884345511
CV-E-B10,2019-NEH1,2019,G+E_T0,308,2.706283885978471,2.2575112650660714,-0.540568906765934,0.13232724431998774
CV-E-B10,2019-NEH1,2019,G+E_T1,308,2.643804720702965,2.1944376826136684,-0.4702567178282844,0.13352062448109148
CV-E-B10,2019-NEH1,2019,G+E_T2,308,2.5413726721091137,2.0910825143820406,-0.3585359524376244,0.13505418991974905
CV-E-B10,2019-NEH2,2019,G,170,2.7397509466142855,2.416483133040585,-2.3580606549128698,0.24463094708291272
CV-E-B10,2019-NEH2,2019,G+E_T0,170,2.5282440437726916,2.1977123536277396,-1.8595938247041346,0.2266899620015521
CV-E-B10,2019-NEH2,2019,G+E_T1,170,2.3737461240862325,2.0426401780199894,-1.5207797548691895,0.2355348601939841
CV-E-B10,2019-NEH2,2019,G+E_T2,170,2.316144897732961,1.9861509583365191,-1.3999258058327557,0.23991854154430595
CV-E-B10,2019-NEH2L,2019,G,174,2.169172697983215,1.7254587234318275,-0.0044307400285632514,0.16186158456235883
CV-E-B10,2019-NEH2L,2019,G+E_T0,174,2.1988862482785367,1.6818370250154282,-0.03213680019548448,0.15650736176061575
CV-E-B10,2019-NEH2L,2019,G+E_T1,174,2.412779563477773,1.825833370576056,-0.24270208710329788,0.15859473182846429
CV-E-B10,2019-NEH2L,2019,G+E_T2,174,2.551819621884373,1.9302694632057045,-0.39005403102135205,0.15814018901780652
CV-E-B10,2019-NYH1,2019,G,201,1.4211128270005917,1.1207927851516872,-0.006871796072702718,0.18661329151030115
CV-E-B10,2019-NYH1,2019,G+E_T0,201,1.4815034753978709,1.1949006987654884,-0.09426474208328295,0.16197764786444827
CV-E-B10,2019-NYH1,2019,G+E_T1,201,1.452003096524754,1.162360490465784,-0.05111961861630099,0.16053842746908545
CV-E-B10,2019-NYH1,2019,G+E_T2,201,1.438502218431673,1.1470101477824834,-0.03166365053748721,0.16374254381864947
CV-E-B10,2019-NYH2,2019,G,402,3.748356238400735,3.3706473555492886,-3.2947268968076466,0.0789830579663225
CV-E-B10,2019-NYH2,2019,G+E_T0,402,4.1373985617213265,3.7865196695723156,-4.232491753838534,0.06798667229452328
CV-E-B10,2019-NYH2,2019,G+E_T1,402,4.180487713343727,3.829698047589111,-4.342047397798078,0.06000844295906468
CV-E-B10,2019-NYH2,2019,G+E_T2,402,3.999106031542053,3.6417249018034936,-3.8885456210684595,0.06745393655554859
CV-E-B10,2019-NYH3,2019,G,573,3.9286920895918382,3.4618376718139485,-2.5736651066535727,0.08242791661689643
CV-E-B10,2019-NYH3,2019,G+E_T0,573,3.760097747253954,3.2881561380780893,-2.2735285791057827,0.09101829689857298
CV-E-B10,2019-NYH3,2019,G+E_T1,573,3.754276589244934,3.28235777160469,-2.2634006633341643,0.09569546857689708
CV-E-B10,2019-NYH3,2019,G+E_T2,573,3.626774931989476,3.1486541160350128,-2.0455033209099533,0.08914205160326136
CV-E-B10,2019-OHH1,2019,G,367,2.548214390839404,2.2215829170686185,-1.2961840702696112,0.0872610188894128
CV-E-B10,2019-OHH1,2019,G+E_T0,367,2.1191007651318845,1.7754150486810394,-0.5879542583356103,0.08590443499513027
CV-E-B10,2019-OHH1,2019,G+E_T1,367,1.755752359085215,1.3686107255147002,-0.09008733250724799,0.09383173898140479
CV-E-B10,2019-OHH1,2019,G+E_T2,367,1.683961467487535,1.2778979057584128,-0.0027647782247968156,0.10048442922607277
CV-E-B10,2019-SCH1,2019,G,365,5.717348163368557,5.626512906713946,-33.125646816933255,0.09147155135095071
CV-E-B10,2019-SCH1,2019,G+E_T0,365,1.8002487050138005,1.5617301953733653,-2.383425565232299,0.14919456692078656
CV-E-B10,2019-SCH1,2019,G+E_T1,365,2.5826743248460517,2.398466805227395,-5.963553272131087,0.13632700192815075
CV-E-B10,2019-SCH1,2019,G+E_T2,365,2.3323147513142013,2.134085911258839,-4.6789223484238365,0.14250870373708105
CV-E-B10,2019-TXH1,2019,G,571,1.923521208938193,1.4043871766954843,-0.19830433063744124,0.019832557923855843
CV-E-B10,2019-TXH1,2019,G+E_T0,571,1.791629754852425,1.3696817294642545,-0.039608216549578135,0.03877858162496422
CV-E-B10,2019-TXH1,2019,G+E_T1,571,1.7883550342922294,1.357512469867391,-0.035811321453283806,0.031676331074372656
CV-E-B10,2019-TXH1,2019,G+E_T2,571,1.7859378570621534,1.3318234789727288,-0.03301316623229433,0.03148598691957782
CV-E-B10,2019-TXH2,2019,G,438,1.4850145089326188,1.1963877800121723,-0.08560076520499238,-0.017108289074777006
CV-E-B10,2019-TXH2,2019,G+E_T0,438,1.4687434998958404,1.1810301772594736,-0.06194166925366584,0.004300373195582256
CV-E-B10,2019-TXH2,2019,G+E_T1,438,1.4767131355866507,1.1896275267175476,-0.07349746480685737,-0.0110423182775146
CV-E-B10,2019-TXH2,2019,G+E_T2,438,1.492532757676644,1.200484171009299,-0.09662082882795908,-0.003708917939930554
CV-E-B10,2019-TXH3,2019,G,445,1.6537961588943246,1.2893571161707462,-0.17121225648349614,0.0217463563276072
CV-E-B10,2019-TXH3,2019,G+E_T0,445,1.5724056907569521,1.226652052511002,-0.058768140868902696,0.06286393355830175
CV-E-B10,2019-TXH3,2019,G+E_T1,445,1.5632717984662747,1.2162311979813776,-0.04650338451990632,0.058244233607580874
CV-E-B10,2019-TXH3,2019,G+E_T2,445,1.5608432043463307,1.2171032272831745,-0.04325435541067968,0.06123694301716054
CV-E-B10,2019-WIH1,2019,G,580,3.2038228342736654,2.7868235407982693,-1.1079746706293498,0.054365156178406156
CV-E-B10,2019-WIH1,2019,G+E_T0,580,2.9899092241445313,2.576229405561458,-0.8358805019763997,0.05675681485316142
CV-E-B10,2019-WIH1,2019,G+E_T1,580,2.8181367481855744,2.4120991680657684,-0.6309946243685685,0.05711220342524416
CV-E-B10,2019-WIH1,2019,G+E_T2,580,2.653874959805299,2.250493634863042,-0.4464030099321119,0.05835089556335074
CV-E-B10,2019-WIH2,2019,G,1113,2.2610355227475023,1.8249690276691488,-0.839789746761965,0.17119618029024947
CV-E-B10,2019-WIH2,2019,G+E_T0,1113,3.230237458452908,2.8145146132140573,-2.7551070395770307,0.01477724087925586
CV-E-B10,2019-WIH2,2019,G+E_T1,1113,3.267162998915081,2.8559062695121504,-2.8414486049990777,0.027745588626776296
CV-E-B10,2019-WIH2,2019,G+E_T2,1113,3.5189526558339823,3.1244536659754965,-3.456360035553817,0.0444969472364086
CV-E-B10,2020-DEH1,2020,G,1143,2.329650457886534,1.875236941416984,-0.4783003723375425,0.5146214776592783
CV-E-B10,2020-DEH1,2020,G+E_T0,1143,2.7004938561632548,2.1866669088979136,-0.9864038358057039,0.4385324020194095
CV-E-B10,2020-DEH1,2020,G+E_T1,1143,2.7287878534095036,2.2166275126940103,-1.0282463566829785,0.44389318780022474
CV-E-B10,2020-DEH1,2020,G+E_T2,1143,2.541638137771016,2.028019090059691,-0.759578290822932,0.45113563493589215
CV-E-B10,2020-INH1,2020,G,415,2.142153674390761,1.6967601560608798,-0.7078297433033021,0.04316859627454582
CV-E-B10,2020-INH1,2020,G+E_T0,415,1.6833251713618167,1.3137287729111344,-0.0545795899641317,0.07458171233908847
CV-E-B10,2020-INH1,2020,G+E_T1,415,1.7048657030323497,1.3415818267352657,-0.08174195700711362,0.08015281447246067
CV-E-B10,2020-INH1,2020,G+E_T2,415,1.747603323384582,1.3588479807867035,-0.13665600443090353,0.07051302072691634
CV-E-B10,2020-MIH1,2020,G,415,3.29167891632017,3.017970318188075,-5.807593677432941,0.03322799718437715
CV-E-B10,2020-MIH1,2020,G+E_T0,415,3.691670003714337,3.4580532635557124,-7.562576019525286,0.07092818762717688
CV-E-B10,2020-MIH1,2020,G+E_T1,415,4.064846054090746,3.846792245055442,-9.38118425965525,0.05849395994318812
CV-E-B10,2020-MIH1,2020,G+E_T2,415,4.029914236328432,3.8117520330906394,-9.20352662602784,0.059115435175780356
CV-E-B10,2020-MNH1,2020,G,392,1.4871884972207619,1.1375746207639972,-0.023103311281113204,0.28634837907845656
CV-E-B10,2020-MNH1,2020,G+E_T0,392,1.9472147875477956,1.5604423996726806,-0.7539417781388944,0.26951834293708243
CV-E-B10,2020-MNH1,2020,G+E_T1,392,1.4546378415988308,1.1118673623041142,0.021192659827079963,0.27156189782511625
CV-E-B10,2020-MNH1,2020,G+E_T2,392,1.7565593412346618,1.3758247359171967,-0.42729290477707105,0.2718005292358092
CV-E-B10,2020-NEH1,2020,G,246,1.8361576695682227,1.3983271977335816,-0.010256321964527082,0.2301336995264428
CV-E-B10,2020-NEH1,2020,G+E_T0,246,2.4416651778192655,1.903025215780936,-0.7864211579009837,0.17794613375616017
CV-E-B10,2020-NEH1,2020,G+E_T1,246,2.375689633049427,1.8409798913354338,-0.6911846956811547,0.1898188321501219
CV-E-B10,2020-NEH1,2020,G+E_T2,246,2.442835874415109,1.903274095373482,-0.7881346266886984,0.1829080512159333
CV-E-B10,2020-NEH2,2020,G,245,1.7391417138807417,1.5000886857469626,-1.200113146081907,-0.020980617938022708
CV-E-B10,2020-NEH2,2020,G+E_T0,245,1.2157761881611842,0.9522549298961689,-0.07518287503048637,0.1347726203651924
CV-E-B10,2020-NEH2,2020,G+E_T1,245,1.1902403318205932,0.9131259485564087,-0.030491460210996024,0.10881040480993798
CV-E-B10,2020-NEH2,2020,G+E_T2,245,1.2677378371322583,1.0148514117213077,-0.16905239864821398,0.12757943975597322
CV-E-B10,2020-NYH1,2020,G,22,2.500842942520472,1.9467235822290208,-0.9547762976505414,0.013432643877303845
CV-E-B10,2020-NYH1,2020,G+E_T0,22,2.1234038678936384,1.6411874648924645,-0.40925451997854245,0.23618379327689515
CV-E-B10,2020-NYH1,2020,G+E_T1,22,2.268792950528315,1.7776863918784018,-0.6088440784839282,0.2303146864184776
CV-E-B10,2020-NYH1,2020,G+E_T2,22,2.4520097525602402,1.9724221630160754,-0.8791810081182987,0.2535087407412254
CV-E-B10,2020-NYH2,2020,G,386,2.153976466731397,1.7091405830017201,-0.019292841508676606,0.13925033540304418
CV-E-B10,2020-NYH2,2020,G+E_T0,386,2.129352590416597,1.6704962849063834,0.0038786999884353746,0.11961411266780461
CV-E-B10,2020-NYH2,2020,G+E_T1,386,2.1317560950194387,1.667105958425761,0.0016286890173190516,0.11996843509213814
CV-E-B10,2020-NYH2,2020,G+E_T2,386,2.139084174351442,1.6695131845876856,-0.005247068577518776,0.1152532743551384
CV-E-B10,2020-NYH3,2020,G,379,2.3471793861095582,1.8272506867115252,-0.11124078403197779,0.013213951508614211
CV-E-B10,2020-NYH3,2020,G+E_T0,379,2.2607059051380447,1.723102472632044,-0.030869629232045614,0.0021204841152179872
CV-E-B10,2020-NYH3,2020,G+E_T1,379,2.254513494863036,1.7112902283824465,-0.025229952794429078,-0.0003917880425653359
CV-E-B10,2020-NYH3,2020,G+E_T2,379,2.253552709572228,1.6879849310645967,-0.024356313341059588,0.006705502424542221
CV-E-B10,2020-OHH1,2020,G,396,2.7113360281355297,2.4151194748534226,-3.582785602182075,0.09823724080597492
