regime,environment,test_year,model,n,rmse,mae,r2,correlation
CV-E-B10,2015-MNH1,2015,G+E_T1,407,1.736013885506027,1.416871918509107,-0.5905238929571728,0.10170876520577292
CV-E-B10,2015-MNH1,2015,G+E_T2,407,1.770915459773719,1.4479397875437878,-0.6551199249848427,0.06739832027498509
CV-E-B10,2015-MOH1,2015,G,422,4.552712967208173,4.196831769795624,-5.954165239699449,0.12931338416546814
CV-E-B10,2015-MOH1,2015,G+E_T0,422,3.2119880492472683,2.803873851718188,-2.4614041220142933,0.07415291479782564
CV-E-B10,2015-MOH1,2015,G+E_T1,422,4.0995966848369925,3.710698206026769,-4.638800525789559,0.07208064354724576
CV-E-B10,2015-MOH1,2015,G+E_T2,422,4.468124376355802,4.092671190258274,-5.698151598042191,0.05416065360745565
CV-E-B10,2015-MOH2,2015,G,421,2.3181694397139765,1.9181094078237773,-0.7271253464499103,0.15942340711823963
CV-E-B10,2015-MOH2,2015,G+E_T0,421,1.860389709759817,1.475426358454195,-0.11234975255740376,0.17109215176704232
CV-E-B10,2015-MOH2,2015,G+E_T1,421,1.9075636493597687,1.55065450271608,-0.16947671997689584,0.1692767406958788
CV-E-B10,2015-MOH2,2015,G+E_T2,421,1.797884919801316,1.4541398918335238,-0.03886062179763039,0.17190709437925475
CV-E-B10,2015-NEH2,2015,G,405,1.9737096149109388,1.5574880450997106,-1.0558250276650751,0.007780309111416224
CV-E-B10,2015-NEH2,2015,G+E_T0,405,2.008595245431929,1.5950673814410645,-1.1291413574292903,-0.006298847607554024
CV-E-B10,2015-NEH2,2015,G+E_T1,405,2.0194029436970866,1.6095875052127417,-1.1521156481953732,-0.005496021841002917
CV-E-B10,2015-NEH2,2015,G+E_T2,405,2.015928094180161,1.6035093146509911,-1.1447155956294282,-0.00929290249490092
CV-E-B10,2015-NEH3,2015,G,249,1.9293393734890067,1.6154255523075547,-0.8807782463475198,0.08088892654796981
CV-E-B10,2015-NEH3,2015,G+E_T0,249,1.8091563306772245,1.4914036574069853,-0.6537601803577804,0.11895435167985118
CV-E-B10,2015-NEH3,2015,G+E_T1,249,1.8294363818788895,1.5145641260729148,-0.6910442088108497,0.12006678680151711
CV-E-B10,2015-NEH3,2015,G+E_T2,249,1.8975098236287629,1.5888960508486512,-0.8192333303109138,0.12154541965733301
CV-E-B10,2015-NYH2,2015,G,355,2.2008370020903367,1.6623444606665032,-0.0848417069049654,0.1565185401176638
CV-E-B10,2015-NYH2,2015,G+E_T0,355,2.288054450016001,1.7105844551031826,-0.17252827914608604,0.20898326555412725
CV-E-B10,2015-NYH2,2015,G+E_T1,355,2.1978869677182353,1.658016938999406,-0.08193538040977866,0.20492900089675065
CV-E-B10,2015-NYH2,2015,G+E_T2,355,2.269215433186487,1.6970444315546398,-0.15329941648223566,0.20503462194925628
CV-E-B10,2015-NYH3,2015,G,355,2.0216015305414126,1.613809800674958,0.01237524606421403,0.33082164670558906
CV-E-B10,2015-NYH3,2015,G+E_T0,355,2.2264823521195494,1.7662494135453317,-0.19795185786256275,0.24667345607722854
CV-E-B10,2015-NYH3,2015,G+E_T1,355,2.345315617876991,1.8593286322729723,-0.3292401243914187,0.2521864669287191
CV-E-B10,2015-NYH3,2015,G+E_T2,355,2.2613731001182127,1.7952739790254955,-0.23579175888030512,0.24534825829647258
CV-E-B10,2015-OHH1,2015,G,426,1.94202313081145,1.5659248301435995,-0.5701662408329824,0.05210386153995147
CV-E-B10,2015-OHH1,2015,G+E_T0,426,1.7929662380056013,1.4327776292375185,-0.3383850057469848,0.14443602320982582
CV-E-B10,2015-OHH1,2015,G+E_T1,426,1.7743693994427345,1.4173425435918257,-0.31076524371802927,0.1117486529266345
CV-E-B10,2015-OHH1,2015,G+E_T2,426,1.6346812738879866,1.2923179940374974,-0.1125076707116317,0.11319378983631873
CV-E-B10,2015-SDH1,2015,G,327,3.93666550078004,3.546461946912075,-5.021170454880653,-0.13474704056547834
CV-E-B10,2015-SDH1,2015,G+E_T0,327,3.3722708659873777,2.9749340798853803,-3.418438297035972,-0.09538291192483142
CV-E-B10,2015-SDH1,2015,G+E_T1,327,3.7455142500840624,3.352670419394912,-4.450631237461783,-0.11346357211570168
CV-E-B10,2015-SDH1,2015,G+E_T2,327,3.7079170807669404,3.3086594265604914,-4.341754450445652,-0.12745204298272977
CV-E-B10,2015-TXH1,2015,G,296,1.9313355762865365,1.5214159626141788,-0.2194360433606115,0.09523670457793701
CV-E-B10,2015-TXH1,2015,G+E_T0,296,1.7245983661215958,1.3798916614535066,0.027657011021531952,0.2167366612191534
CV-E-B10,2015-TXH1,2015,G+E_T1,296,1.7653464706533495,1.4052450381581254,-0.01883405670916871,0.20399032834864417
CV-E-B10,2015-TXH1,2015,G+E_T2,296,1.7893263735635683,1.418580183403865,-0.04670108145750729,0.20646257300292156
CV-E-B10,2015-TXH2,2015,G,308,2.492247013076836,2.078194728327961,-1.265412595620501,0.07606914972632708
CV-E-B10,2015-TXH2,2015,G+E_T0,308,3.362410702362842,2.9738258992362296,-3.1235062880116953,0.11469505824922312
CV-E-B10,2015-TXH2,2015,G+E_T1,308,2.7767099880100012,2.361581704729882,-1.8120703896695467,0.10747616518736426
CV-E-B10,2015-TXH2,2015,G+E_T2,308,2.9479380018904533,2.5421627313683937,-2.1695808462087194,0.11073109614851494
CV-E-B10,2016-DEH1,2016,G,230,2.0517405018889345,1.6635485810328825,-0.17253423764241416,0.15262298685587822
CV-E-B10,2016-DEH1,2016,G+E_T0,230,2.2259009565204213,1.8556331522256984,-0.3800421205579749,0.2725032529237811
CV-E-B10,2016-DEH1,2016,G+E_T1,230,2.084053352007586,1.7114091692071225,-0.20975753307678136,0.28103608806143043
CV-E-B10,2016-DEH1,2016,G+E_T2,230,2.1280854474685515,1.7560817002483893,-0.2614173302948546,0.26297276991933793
CV-E-B10,2016-GAH2,2016,G,87,4.673650445010437,4.4818172821086355,-10.886045479058955,0.2781012970419191
CV-E-B10,2016-GAH2,2016,G+E_T0,87,4.423247375513072,4.218672251878694,-9.646513036685244,0.22725951771713387
CV-E-B10,2016-GAH2,2016,G+E_T1,87,4.4287839089513765,4.225323384835012,-9.673181979526342,0.23647288098734848
CV-E-B10,2016-GAH2,2016,G+E_T2,87,4.353202635113227,4.144901109467188,-9.31199514822966,0.22661742037111937
CV-E-B10,2016-IAH2,2016,G,388,2.3787520944189033,1.8446963599517392,0.009177739294601306,0.17210844874346903
CV-E-B10,2016-IAH2,2016,G+E_T0,388,2.4503135218694814,1.8685951269869718,-0.05133397956276253,0.08379744497740188
CV-E-B10,2016-IAH2,2016,G+E_T1,388,2.441209668852277,1.8677141759651366,-0.043536275621056886,0.09796440546883563
CV-E-B10,2016-IAH2,2016,G+E_T2,388,2.446729041380589,1.8756437619196344,-0.04826030779936774,0.08478824005210171
CV-E-B10,2016-IAH3,2016,G,375,1.944179190029378,1.6231006639084136,-0.8812170861921462,0.1653004727166733
CV-E-B10,2016-IAH3,2016,G+E_T0,375,1.5448242828979646,1.2556066590090198,-0.187748550187677,0.05893697526061382
CV-E-B10,2016-IAH3,2016,G+E_T1,375,1.6692284654802598,1.373550537803245,-0.3867491182326144,0.07229608260848179
CV-E-B10,2016-IAH3,2016,G+E_T2,375,1.8410637901827873,1.5219814151004054,-0.6869569776917486,0.06767185122567662
CV-E-B10,2016-IAH4,2016,G,396,1.4243684384225472,1.1549520205951742,-0.23425478716730175,0.21178282147011093
CV-E-B10,2016-IAH4,2016,G+E_T0,396,1.3140045195575984,1.025909366234286,-0.05039792357264328,0.31346507240194077
CV-E-B10,2016-IAH4,2016,G+E_T1,396,1.2315319174600474,0.9583532735691016,0.07731920673260839,0.31609624393141494
CV-E-B10,2016-IAH4,2016,G+E_T2,396,1.2287841291761399,0.9582308483686535,0.08143197559832527,0.31402806636755726
CV-E-B10,2016-ILH1,2016,G,212,2.1161877518300476,1.6779255926135965,-0.31305732926224983,0.10506070021368226
CV-E-B10,2016-ILH1,2016,G+E_T0,212,2.068770358914125,1.635489485483614,-0.2548732611831812,0.2253892972329576
CV-E-B10,2016-ILH1,2016,G+E_T1,212,2.0193767914030625,1.5846509779434557,-0.1956663765757649,0.19441468658563393
CV-E-B10,2016-ILH1,2016,G+E_T2,212,2.0623050015498383,1.6292039766661799,-0.24704201371602985,0.17029895549280888
CV-E-B10,2016-INH1,2016,G,235,2.2070050877360625,1.7462163874891357,-0.3922627066296851,0.26477122612136533
CV-E-B10,2016-INH1,2016,G+E_T0,235,2.5864538106963058,2.096959345614379,-0.9121588848885105,0.38508951621997906
CV-E-B10,2016-INH1,2016,G+E_T1,235,2.3897221331558964,1.9072742068857926,-0.6323351530681662,0.3946389481634735
CV-E-B10,2016-INH1,2016,G+E_T2,235,2.9203959088276266,2.4306279790637864,-1.437799503696116,0.37873945997483033
CV-E-B10,2016-MIH1,2016,G,234,2.029946187065509,1.5560750492688864,0.001645027721903003,0.1494238523085071
CV-E-B10,2016-MIH1,2016,G+E_T0,234,2.120888525142891,1.6982231798702296,-0.08981208579435096,0.10548046526170271
CV-E-B10,2016-MIH1,2016,G+E_T1,234,2.3037918718635146,1.9190062103425596,-0.2858858531542585,0.11123993275974724
CV-E-B10,2016-MIH1,2016,G+E_T2,234,2.308096191486681,1.920766501580676,-0.29069534514525364,0.10000181358437497
CV-E-B10,2016-MNH1,2016,G,232,1.6734632901214106,1.3584095905432294,-0.30281450560503154,0.16527894981231683
CV-E-B10,2016-MNH1,2016,G+E_T0,232,2.132681040067619,1.7728228290177486,-1.1159335345403099,0.06771404807696772
CV-E-B10,2016-MNH1,2016,G+E_T1,232,2.2061862678836635,1.8431045388372955,-1.2643030922840248,0.06761487571035125
CV-E-B10,2016-MNH1,2016,G+E_T2,232,2.234533859754254,1.8672417747583003,-1.3228656154507261,0.053611234578646354
CV-E-B10,2016-NEH1,2016,G,231,2.718232509057525,2.257454806252713,-1.3895354460245013,0.07799318963459564
CV-E-B10,2016-NEH1,2016,G+E_T0,231,2.5440897417182793,2.087692962715873,-1.0931730112480613,0.288843533458189
CV-E-B10,2016-NEH1,2016,G+E_T1,231,2.659837674353505,2.199225404199006,-1.2879711244923482,0.21915677944881015
CV-E-B10,2016-NEH1,2016,G+E_T2,231,2.567349737865592,2.1065486342890036,-1.1316227270696508,0.25701076429499253
CV-E-B10,2016-NEH4,2016,G,214,2.063623813118068,1.656339247899374,-0.9657857233629077,0.026293743843250908
CV-E-B10,2016-NEH4,2016,G+E_T0,214,2.029781426619749,1.6311151306562681,-0.9018386258207693,0.1284180262708357
CV-E-B10,2016-NEH4,2016,G+E_T1,214,2.120150177906758,1.7151770056295563,-1.0749534804975216,0.07763648258903073
CV-E-B10,2016-NEH4,2016,G+E_T2,214,2.095504212300112,1.6870462963918686,-1.0269927319916503,0.05134995869303849
CV-E-B10,2016-NYH1,2016,G,224,1.9793678555056795,1.6826216068702227,-1.99367870030167,0.2861485465345629
CV-E-B10,2016-NYH1,2016,G+E_T0,224,2.4398243583049224,2.1800635454478177,-3.5485113921290568,0.250527096513067
CV-E-B10,2016-NYH1,2016,G+E_T1,224,2.3797266919282447,2.118899939409258,-3.327193587078953,0.27785503876041107
CV-E-B10,2016-NYH1,2016,G+E_T2,224,2.175710139097361,1.8934457493493453,-2.6170476689093554,0.25186278322911526
CV-E-B10,2016-NYH2,2016,G,230,3.144457127012816,2.632736729590951,-2.028179983219283,0.08853142858043253
CV-E-B10,2016-NYH2,2016,G+E_T0,230,3.8687027160509264,3.3719794086543633,-3.5837512948558876,-0.08351303080849644
CV-E-B10,2016-NYH2,2016,G+E_T1,230,3.038244531556728,2.4689493020668825,-1.8270649009610485,-0.07734308750680215
CV-E-B10,2016-NYH2,2016,G+E_T2,230,3.462784378291954,2.9230049549365957,-2.672326005587096,-0.09274928312753518
CV-E-B10,2016-NYH2L,2016,G,96,6.766730731992035,6.711930041680408,-137.86590592041696,-0.025870050615704857
CV-E-B10,2016-NYH2L,2016,G+E_T0,96,8.318474644227056,8.268751114775414,-208.85785816296465,-0.14943405800028545
CV-E-B10,2016-NYH2L,2016,G+E_T1,96,7.56771928123168,7.515368988285137,-172.6872221974815,-0.1382951792260446
CV-E-B10,2016-NYH2L,2016,G+E_T2,96,7.366375849842848,7.3096769751803805,-163.56807510378098,-0.15048327263177322
CV-E-B10,2016-TXH1,2016,G,218,2.7114595128774006,2.4479716861838012,-4.662691686706244,0.1446986317153359
CV-E-B10,2016-TXH1,2016,G+E_T0,218,2.9548455433787755,2.7477892480675044,-5.72490629054596,0.30631836020552794
CV-E-B10,2016-TXH1,2016,G+E_T1,218,2.582968220682136,2.3367227897823963,-4.138718105995509,0.2420275638668822
CV-E-B10,2016-TXH1,2016,G+E_T2,218,2.995124107390863,2.7736770086148272,-5.909495112416056,0.20643653183903654
CV-E-B10,2016-TXH2,2016,G,234,1.955651081496327,1.532501660267435,-0.0939982084241664,0.21210609408102918
CV-E-B10,2016-TXH2,2016,G+E_T0,234,2.584792303953153,2.1091698913862924,-0.9111077323867467,0.2474724088253776
CV-E-B10,2016-TXH2,2016,G+E_T1,234,1.9565507183428241,1.551086102497356,-0.09500496007149795,0.24827116342686056
CV-E-B10,2016-TXH2,2016,G+E_T2,234,2.0168421542678403,1.601502391081461,-0.16353026890870836,0.2273224424437012
CV-E-B10,2016-WIH1,2016,G,308,2.0320185117545884,1.633008877038134,-0.12960624050475666,0.19868542616724005
CV-E-B10,2016-WIH1,2016,G+E_T0,308,1.8970737238294193,1.5101660834423674,0.015444550666870782,0.3307500721454405
CV-E-B10,2016-WIH1,2016,G+E_T1,308,1.8187987620681487,1.4156382009724426,0.09501566302131825,0.31841081824757406
CV-E-B10,2016-WIH1,2016,G+E_T2,308,1.8130744037276967,1.3955304676949967,0.10070326568228138,0.31891501074299783
CV-E-B10,2016-WIH2,2016,G,418,2.3309104163925,1.924625761057786,0.07095532048060438,0.29240948652163035
CV-E-B10,2016-WIH2,2016,G+E_T0,418,3.0132630018924895,2.425437086975387,-0.5525997559982858,0.3267575078994726
CV-E-B10,2016-WIH2,2016,G+E_T1,418,2.528047705431216,2.0481929292309484,-0.09283844656336493,0.3215850630733704
CV-E-B10,2016-WIH2,2016,G+E_T2,418,2.3946648479470736,1.9665575107992237,0.01943832843566473,0.2883736398664948
CV-E-B10,2017-COH1,2017,G,209,2.8740805235660063,2.4783841376573883,-3.6174654890467695,0.01104530423969545
CV-E-B10,2017-COH1,2017,G+E_T0,209,2.63143444843833,2.1995532928321477,-2.870712424137776,-0.04421809987140342
CV-E-B10,2017-COH1,2017,G+E_T1,209,2.5529692412348926,2.1127560556609493,-2.6433169944135826,-0.0503444032354837
CV-E-B10,2017-COH1,2017,G+E_T2,209,2.579809026050325,2.1331647316623927,-2.7203252574779597,-0.06062088939957208
CV-E-B10,2017-DEH1,2017,G,168,2.8637904328415935,2.426489961241368,-0.8637383120927675,0.19741806583063987
CV-E-B10,2017-DEH1,2017,G+E_T0,168,2.8770864551567312,2.4730405132521858,-0.8810844355903087,0.3205408283023632
CV-E-B10,2017-DEH1,2017,G+E_T1,168,2.798767130151887,2.3886497887362528,-0.7800655472969646,0.28563927208198703
CV-E-B10,2017-DEH1,2017,G+E_T2,168,2.8533113036404023,2.439739592134385,-0.8501237530180383,0.2577984451468355
CV-E-B10,2017-GAH1,2017,G,130,2.767047538220949,2.190686141150169,-0.15715930032437564,0.08453263062401842
CV-E-B10,2017-GAH1,2017,G+E_T0,130,2.4929854466590515,2.0057979107170065,0.06071065517834051,0.2524148741638798
CV-E-B10,2017-GAH1,2017,G+E_T1,130,2.524373202398345,2.0325721273942996,0.036909648850009025,0.22322430688672124
CV-E-B10,2017-GAH1,2017,G+E_T2,130,2.5109021523104538,2.0174197377976015,0.0471610820298779,0.21973801911825344
CV-E-B10,2017-GAH2,2017,G,84,1.7063103218218538,1.3073817375708443,-0.13613538458542696,0.16661233902745187
CV-E-B10,2017-GAH2,2017,G+E_T0,84,1.5626631013095627,1.238532416681635,0.04710562124965301,0.35123599388262683
