environment,n,raw_rmse,raw_mae,mean_residual_observed_minus_predicted,environment_mean_bias_sse,within_environment_centered_sse,centered_rmse_after_oracle_intercept,pearson,spearman,observed_sd,predicted_sd,predicted_to_observed_sd_ratio,oracle_intercept_uses_target_outcome,diagnostic_only
DEH1_2024,51,3.0887216690633466,2.6553859710296073,-2.408116887039412,295.7503740238638,190.79990497215107,1.9342116242275766,0.14653139113078947,-0.022352941176470586,1.9476434399388596,0.6080844068598421,0.3122154673644633,True,True
GAH1_2024,15,3.764976830210702,3.374341917430667,-3.238943922846667,157.36136603018033,55.2643919501711,1.9194511706938715,0.29852299261452203,0.18928571428571428,2.081623697066414,0.6001312993480757,0.2882996096719246,True,True
GAH2_2024,15,2.1340526391860006,1.4315754454133336,-0.5102790460306666,3.905770572269508,64.40693942998152,2.0721476689654064,0.375913565013314,0.36428571428571427,2.2971264588309874,0.6001311390344406,0.26125298271121244,True,True
IAH2_2024,49,3.264153226025965,2.7323031584836737,-2.351560284824898,270.961952885122,251.11816498068796,2.263815476095602,0.027893448802985422,-0.08112244897959182,2.220887315949998,0.6125165922758713,0.2757981406246465,True,True
IAH4_2024,52,2.410792986792455,2.0756018781480767,1.5091023585900003,118.4242762924989,183.79571061622084,1.8800353444724878,0.5187139317993579,0.38777426790745323,2.1430806156873805,0.6148568223093406,0.2869032633716996,True,True
ILH1_2024,61,2.3939189240244727,1.8320580168770493,0.30946106402885243,5.84173515914204,343.7399815438098,2.373832695168853,0.12689127163183966,0.045690111052353245,2.380049659621094,0.69643351206138,0.2926130172310156,True,True
INH1_2024,41,1.8775661190666044,1.5107784955282928,-0.542295596622927,12.057465078781272,132.4779707113588,1.7975455536231104,0.36193903996963644,0.3153310104529617,1.9514690010552647,0.6553638144135521,0.3358310145122272,True,True
MIH1_2024,54,2.2465432683628546,1.7469272214027778,0.9447975104716667,48.20268613284679,224.33297332498196,2.0382135120818425,0.3932502121856299,0.40118162759672193,2.218328025312296,0.602678890712012,0.27168159254858937,True,True
MOH1_2024,60,2.32810596687105,1.9817814273541667,1.5265524411401665,139.8217413330601,185.38290224577509,1.7577585264846776,0.11703647007679766,0.10552931369824954,1.7052026485259695,0.723207757649391,0.42411836403993064,True,True
NCH1_2024,59,2.9463008583110426,2.57460902261983,-2.444909298856101,352.6773072983489,159.4833288150297,1.6441129121965288,-0.09586377303456062,-0.09561659848042083,1.4969158059115906,0.5842004117163385,0.39026938549865375,True,True
NEH1_2024,15,1.627754340216356,1.2901941517386666,-0.576791011472,4.990318063723391,34.753444817674364,1.5221354477109752,0.49786558633210637,0.5035714285714286,1.7858972126193846,0.6001311494003324,0.33603902014053594,True,True
NEH2_2024,15,3.3291760757822746,3.2446088706940004,-3.2446088706940004,157.91230085679297,8.338899296623085,0.7456048683953669,0.4937111910866835,0.5821428571428571,0.8648571187773438,0.6001311390380839,0.6939078444385063,True,True
NYH2_2024,52,3.452484866071327,2.8154255051203845,2.6342590997615383,360.84469224317644,258.97719878030415,2.2316654645746254,0.01184881685707235,0.01246478272005464,2.17550302988975,0.6138547828167574,0.2821668250436159,True,True
NYH3_2024,50,2.0030319791408924,1.7054835462996,-1.4157769730632,100.22122187279984,100.38563360025421,1.4169377798637046,0.16049327775669478,0.07006002400960383,1.4016674875642872,0.5918653506385074,0.42225802901871307,True,True
OHH1_2024,15,3.6399593213862924,3.2769002687340003,2.9534938351020004,130.84688750978282,67.89267041042159,2.1274816162217336,0.534006982984613,0.5964285714285712,2.4633748190511233,0.6001312669821683,0.24362158058160843,True,True
TXH1_2024,14,2.781307525190804,2.3706102748957143,-2.3706102748957143,78.67710305617587,29.622298639386074,1.4546059515352818,0.2797095768358694,0.27912087912087913,1.5640424751174147,0.5917378122244763,0.3783387098742659,True,True
WIH1_2024,47,2.756128298228944,2.2217784261510642,0.8202709226361703,31.623686166552524,325.3997440594712,2.631235225094097,0.2860706172700521,0.23866790009250696,2.768840661481738,0.6054670606574162,0.2186716877862528,True,True
WIH2_2024,56,2.105391886194705,1.6980626883257142,0.6213366374360715,21.619316153140392,226.6104835363115,2.011620187171061,0.3284057578193589,0.22611073137388926,2.1461028191659928,0.5991241766520247,0.27916844025434584,True,True
WIH3_2024,58,1.9107792424188896,1.4564704279862069,-0.29745894515344823,5.131945795004523,206.630538374012,1.887483904357095,0.40009682580798034,0.40262696484050575,2.060772146049272,0.5834079611797289,0.2831016336756038,True,True
