model,n,n_environments,n_test_years,rmse,mae,r2,correlation
Frozen-T1,44316,113,6,2.6614189872403107,2.1509721683007843,0.05954058971474341,0.3405169104467061
Frozen-T2,44316,113,6,3.2843411041341266,2.4859247249675005,-0.4322210938991151,0.19765056670927597
Selected-T2,44316,113,6,3.4094984448415757,2.6218798933032383,-0.5434570467955795,0.14572484240580985
