regime,reference_model,candidate_model,metric,delta_candidate_minus_reference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_improvement,n_genotype_clusters,n_bootstrap
CV-G,G,G+E,rmse,0.0008210916442527028,0.0003732321057454108,0.0013014837248411426,0.0,599,2000
CV-G,G,G+E,mae,0.0009615114780036071,0.0005092920510797461,0.0014268304460479408,0.0,599,2000
CV-G,G+E,G+E+GxE,rmse,-0.06594824472676475,-0.0811712541230279,-0.052093377911220706,1.0,599,2000
CV-G,G+E,G+E+GxE,mae,-0.056700147890360264,-0.06991688407373467,-0.0443127738371368,1.0,599,2000
CV2,G,G+E,rmse,0.0007501066683359703,-0.00044735923853758686,0.001863457751958397,0.102,599,2000
CV2,G,G+E,mae,0.0001842647486663962,-0.000943436837806616,0.0013535508012157598,0.3875,599,2000
CV2,G+E,G+E+GxE,rmse,-0.07038323743822994,-0.09754922989901858,-0.0439455854562131,1.0,599,2000
CV2,G+E,G+E+GxE,mae,-0.05701835425589452,-0.07986238656425303,-0.03494286857337583,1.0,599,2000
