diagnostic,confirmatory,nominal,n,n_environments,empirical_coverage,environment_balanced_coverage,environment_cluster_ci95_low,environment_cluster_ci95_high,mean_interval_width,absolute_coverage_gap,selection_rule,selection_uses_outcome_value,post_reveal_protocol_amendment
POST_REVEAL_AVAILABLE_CASE_DIAGNOSTIC,False,0.8,387,14,0.7596899224806202,0.7718944073882701,0.6278994064922481,0.8771078962728258,6.914471610867287,0.04031007751937987,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
POST_REVEAL_AVAILABLE_CASE_DIAGNOSTIC,False,0.9,387,14,0.8527131782945736,0.8487186682822535,0.7740271226415094,0.9253777637865264,8.703414823140932,0.04728682170542642,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
POST_REVEAL_AVAILABLE_CASE_DIAGNOSTIC,False,0.95,387,14,0.937984496124031,0.9320880835356213,0.9054793360433605,0.9662664648230226,10.230283479533378,0.012015503875968947,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
